,index,count,d_cap,d_tract,distance,end station latitude,end station longitude,o_cap,o_tract,start station latitude,start station longitude,tripduration,o_pop,d_pop,o_housing,d_housing,tract_x,o_sq_foot,tract_y,d_sq_foot,tract,diffs_out,start,end,weighted,total_out,total_in,o_hub,d_hub,od_hub,SX,SY,EX,EY
10,10,5580,255.0,000600,,40.7128987867,-73.9898646367,321.0,001600,40.7153350167,-73.9943926833,355.764431146,8236,11558,3242,4083,001600,76565505.7581,000600,59149181.7526,000600,28553756.0,001600,000600,0.0,82798,69165,hub,hub,hub,584936.591099,4507643.5622,585322.159723,4507377.5136
11,11,3416,340.0,000600,,40.7128987867,-73.9898646367,462.0,001800,40.7193657075,-73.9906468425,471.982939632,8063,11558,3489,4083,001800,60554858.5127,000600,59149181.7526,000600,28553756.0,001800,000600,0.0,133306,69165,hub,hub,hub,585247.838585,4508094.62497,585322.159723,4507377.5136
12,12,610,170.0,000600,,40.7128987867,-73.9898646367,138.0,002000,40.721554605,-73.977309405,757.464653108,4795,11558,1899,4083,002000,17907673.5628,000600,59149181.7526,000600,28553756.0,002000,000600,0.0,31656,69165,hub,hub,non_hub,586371.478696,4508350.63994,585322.159723,4507377.5136
13,13,1517,340.0,000600,,40.7128987867,-73.9898646367,306.0,002100,40.71451321,-74.0108850975,839.570130492,6111,11558,3038,4083,002100,273869828.705,000600,59149181.7526,000600,28553756.0,002100,000600,0.0,151037,69165,hub,hub,non_hub,583544.598931,4507536.51732,585322.159723,4507377.5136
14,14,1346,170.0,000600,,40.7128987867,-73.9898646367,132.0,002201,40.71833027,-73.980972895,473.062452903,6762,11558,3030,4083,002201,37585954.9949,000600,59149181.7526,000600,28553756.0,002201,000600,0.0,26391,69165,hub,hub,non_hub,586066.226443,4507989.12022,585322.159723,4507377.5136
15,15,577,85.0,000600,,40.7128987867,-73.9898646367,93.0,002202,40.7208736,-73.98085795,702.89075959,2256,11558,1045,4083,002202,13179093.8977,000600,59149181.7526,000600,28553756.0,002202,000600,0.0,23935,69165,hub,hub,non_hub,586072.658368,4508271.55961,585322.159723,4507377.5136
16,16,569,170.0,000600,,40.7128987867,-73.9898646367,144.0,002400,40.724744875,-73.974986535,964.131845145,5775,11558,2175,4083,002400,17986635.5592,000600,59149181.7526,000600,28553756.0,002400,000600,0.0,17965,69165,hub,hub,non_hub,586563.526382,4508707.06897,585322.159723,4507377.5136
17,17,1245,170.0,000600,,40.7128987867,-73.9898646367,186.0,002500,40.7111743,-73.99849582,459.796044165,5061,11558,1917,4083,002500,22428407.6271,000600,59149181.7526,000600,28553756.0,002500,000600,0.0,28216,69165,hub,hub,non_hub,584595.28909,4507177.73549,585322.159723,4507377.5136
18,18,192,85.0,000600,,40.7128987867,-73.9898646367,93.0,002601,40.72299208,-73.97995466,846.052380952,3774,11558,1593,4083,002601,22248722.3098,000600,59149181.7526,000600,28553756.0,002601,000600,0.0,22144,69165,hub,hub,non_hub,586146.216204,4508507.61099,585322.159723,4507377.5136
19,19,1017,85.0,000600,,40.7128987867,-73.9898646367,81.0,002700,40.71307916,-73.99851193,388.5732031,1191,11558,655,4083,002700,11349914.9514,000600,59149181.7526,000600,28553756.0,002700,000600,0.0,20570,69165,hub,hub,non_hub,584591.517275,4507389.17181,585322.159723,4507377.5136
20,20,361,85.0,000600,,40.7128987867,-73.9898646367,96.0,002800,40.72521311,-73.97768752,777.426490714,7302,11558,3341,4083,002800,47641507.3146,000600,59149181.7526,000600,28553756.0,002800,000600,0.0,36744,69165,hub,hub,non_hub,586334.816403,4508756.38709,585322.159723,4507377.5136
21,21,1145,85.0,000600,,40.7128987867,-73.9898646367,129.0,002900,40.71602118,-73.99974372,482.194183012,5855,11558,2420,4083,002900,200965547.24,000600,59149181.7526,000600,28553756.0,002900,000600,0.0,31936,69165,hub,hub,non_hub,584483.752153,4507714.56961,585322.159723,4507377.5136
22,22,719,85.0,000600,,40.7128987867,-73.9898646367,105.0,003001,40.72066442,-73.98517977,491.062612996,4301,11558,2553,4083,003001,34302720.7166,000600,59149181.7526,000600,28553756.0,003001,000600,0.0,41223,69165,hub,hub,non_hub,585707.91731,4508244.11218,585322.159723,4507377.5136
23,23,497,85.0,000600,,40.7128987867,-73.9898646367,111.0,003002,40.72217444,-73.98368779,656.359079895,3031,11558,1885,4083,003002,18686109.2263,000600,59149181.7526,000600,28553756.0,003002,000600,0.0,38675,69165,hub,hub,non_hub,585831.986427,4508413.19181,585322.159723,4507377.5136
24,24,1654,255.0,000600,,40.7128987867,-73.9898646367,363.0,003100,40.7140617467,-74.0041933367,545.276024907,2809,11558,858,4083,003100,145687012.574,000600,59149181.7526,000600,28553756.0,003100,000600,0.0,81469,69165,hub,hub,non_hub,584110.388584,4507492.78891,585322.159723,4507377.5136
25,25,1237,255.0,000600,,40.7128987867,-73.9898646367,300.0,003200,40.7260543867,-73.9823576167,795.024109829,7630,11558,4888,4083,003200,46369492.482,000600,59149181.7526,000600,28553756.0,003200,000600,0.0,138064,69165,hub,hub,non_hub,585939.335766,4508845.19329,585322.159723,4507377.5136
26,26,846,425.0,000600,,40.7128987867,-73.9898646367,519.0,003300,40.7188203377,-74.0063376029,749.742212468,5174,11558,2694,4083,003300,215459582.054,000600,59149181.7526,000600,28553756.0,003300,000600,0.0,115059,69165,hub,hub,non_hub,583923.294822,4508018.97232,585322.159723,4507377.5136
27,27,364,85.0,000600,,40.7128987867,-73.9898646367,117.0,003400,40.72955361,-73.98057249,867.479027277,6706,11558,4203,4083,003400,42933229.7541,000600,59149181.7526,000600,28553756.0,003400,000600,0.0,47926,69165,hub,hub,non_hub,586085.581298,4509235.37985,585322.159723,4507377.5136
28,28,2606,170.0,000600,,40.7128987867,-73.9898646367,198.0,003601,40.72217423,-73.990293175,533.48651792,3299,11558,1613,4083,003601,29191583.8104,000600,59149181.7526,000600,28553756.0,003601,000600,0.0,77585,69165,hub,hub,non_hub,585274.124459,4508406.73315,585322.159723,4507377.5136
29,29,755,170.0,000600,,40.7128987867,-73.9898646367,186.0,003602,40.724852985,-73.989265345,716.901619904,2918,11558,1586,4083,003602,24941258.1161,000600,59149181.7526,000600,28553756.0,003602,000600,0.0,82124,69165,hub,hub,non_hub,585357.507872,4508705.09166,585322.159723,4507377.5136
30,30,897,340.0,000600,,40.7128987867,-73.9898646367,444.0,003700,40.7256696075,-74.0052069325,960.905433907,2401,11558,1490,4083,003700,212385639.924,000600,59149181.7526,000600,28553756.0,003700,000600,0.0,173333,69165,hub,hub,non_hub,584010.178026,4508780.36793,585322.159723,4507377.5136
31,31,1551,340.0,000600,,40.7128987867,-73.9898646367,480.0,003800,40.72765889,-73.988195855,839.863950633,8610,11558,5795,4083,003800,67437493.5221,000600,59149181.7526,000600,28553756.0,003800,000600,0.0,167230,69165,hub,hub,non_hub,585444.239635,4509017.60641,585322.159723,4507377.5136
32,32,502,340.0,000600,,40.7128987867,-73.9898646367,318.0,003900,40.7201717475,-74.00983051,886.599965629,5253,11558,3059,4083,003900,194910113.03,000600,59149181.7526,000600,28553756.0,003900,000600,0.0,113624,69165,hub,hub,non_hub,583626.593058,4508165.65565,585322.159723,4507377.5136
33,33,505,170.0,000600,,40.7128987867,-73.9898646367,198.0,004000,40.73000573,-73.98549552,936.603448482,9801,11558,4546,4083,004000,66858387.5133,000600,59149181.7526,000600,28553756.0,004000,000600,0.0,99660,69165,hub,hub,non_hub,585669.269443,4509280.75306,585322.159723,4507377.5136
34,34,2546,170.0,000600,,40.7128987867,-73.9898646367,192.0,004100,40.7195529,-73.996789035,633.152965421,7793,11558,3765,4083,004100,71738983.3617,000600,59149181.7526,000600,28553756.0,004100,000600,0.0,114685,69165,hub,hub,non_hub,584728.836557,4508109.46034,585322.159723,4507377.5136
35,35,319,85.0,000600,,40.7128987867,-73.9898646367,105.0,004200,40.73223272,-73.98889957,933.257459328,4988,11558,1801,4083,004200,39941846.3325,000600,59149181.7526,000600,28553756.0,004200,000600,0.0,50846,69165,hub,hub,non_hub,585378.96492,4509524.64843,585322.159723,4507377.5136
36,36,987,170.0,000600,,40.7128987867,-73.9898646367,201.0,004300,40.723870235,-73.995226525,738.599844881,4267,11558,2598,4083,004300,65935514.1184,000600,59149181.7526,000600,28553756.0,004300,000600,0.0,95162,69165,hub,hub,non_hub,584855.320992,4508590.22212,585322.159723,4507377.5136
37,37,349,170.0,000600,,40.7128987867,-73.9898646367,180.0,004400,40.73080269,-73.97968993,1111.37272002,17710,11558,8297,4083,004400,114601147.016,000600,59149181.7526,000600,28553756.0,004400,000600,0.0,106427,69165,hub,hub,non_hub,586158.498991,4509374.90208,585322.159723,4507377.5136
38,38,638,85.0,000600,,40.7128987867,-73.9898646367,81.0,004500,40.71910537,-73.99973337,608.406462433,840,11558,582,4083,004500,52009114.8865,000600,59149181.7526,000600,28553756.0,004500,000600,0.0,34275,69165,hub,hub,non_hub,584480.726971,4508056.94497,585322.159723,4507377.5136
39,39,316,85.0,000600,,40.7128987867,-73.9898646367,117.0,004700,40.72165481,-74.00234737,599.989176875,2267,11558,1586,4083,004700,75477587.1594,000600,59149181.7526,000600,28553756.0,004700,000600,0.0,27544,69165,hub,hub,non_hub,584256.734795,4508337.43837,585322.159723,4507377.5136
40,40,132,85.0,000600,,40.7128987867,-73.9898646367,105.0,004800,40.73624527,-73.98473765,1160.35745423,7550,11558,3799,4083,004800,74763044.6965,000600,59149181.7526,000600,28553756.0,004800,000600,0.0,42567,69165,hub,hub,non_hub,585725.258797,4509974.12516,585322.159723,4507377.5136
41,41,456,170.0,000600,,40.7128987867,-73.9898646367,219.0,004900,40.724268615,-74.000521515,905.492156535,4951,11558,3054,4083,004900,103848670.177,000600,59149181.7526,000600,28553756.0,004900,000600,0.0,80152,69165,hub,hub,non_hub,584407.63728,4508629.34168,585322.159723,4507377.5136
42,42,352,255.0,000600,,40.7128987867,-73.9898646367,279.0,005000,40.7359163467,-73.9873427633,1249.06306908,5061,11558,3595,4083,005000,120638459.215,000600,59149181.7526,000600,28553756.0,005000,000600,0.0,111023,69165,hub,hub,non_hub,585505.709717,4509935.07175,585322.159723,4507377.5136
43,43,540,170.0,000600,,40.7128987867,-73.9898646367,318.0,005200,40.73715585,-73.991241315,1213.51571782,4193,11558,1785,4083,005200,109103391.81,000600,59149181.7526,000600,28553756.0,005200,000600,0.0,159876,69165,hub,hub,non_hub,585174.941656,4510068.87544,585322.159723,4507377.5136
44,44,124,85.0,000600,,40.7128987867,-73.9898646367,141.0,005400,40.73971301,-73.99456405,1374.54479456,4656,11558,2837,4083,005400,128803552.888,000600,59149181.7526,000600,28553756.0,005400,000600,0.0,73728,69165,hub,hub,non_hub,584891.129718,4510349.51956,585322.159723,4507377.5136
45,45,361,85.0,000600,,40.7128987867,-73.9898646367,90.0,005501,40.72679454,-73.99695094,873.779861111,5079,11558,2483,4083,005501,61061928.4125,000600,59149181.7526,000600,28553756.0,005501,000600,0.0,57258,69165,hub,hub,non_hub,584705.980012,4508913.17477,585322.159723,4507377.5136
46,46,300,85.0,000600,,40.7128987867,-73.9898646367,81.0,005502,40.72743423,-73.99379025,772.027621161,2383,11558,1262,4083,005502,49017118.6146,000600,59149181.7526,000600,28553756.0,005502,000600,0.0,55117,69165,hub,hub,non_hub,584972.085912,4508987.23863,585322.159723,4507377.5136
47,47,271,170.0,000600,,40.7128987867,-73.9898646367,285.0,005600,40.74065347,-73.98778661,1272.27675452,2618,11558,2190,4083,005600,189153355.609,000600,59149181.7526,000600,28553756.0,005600,000600,0.0,113209,69165,hub,hub,non_hub,585462.168743,4510460.49357,585322.159723,4507377.5136
48,48,540,170.0,000600,,40.7128987867,-73.9898646367,246.0,005700,40.729662915,-73.992405595,919.462584232,2937,11558,1789,4083,005700,90178032.7137,000600,59149181.7526,000600,28553756.0,005700,000600,0.0,156896,69165,hub,hub,non_hub,585086.179601,4509235.9788,585322.159723,4507377.5136
49,49,178,170.0,000600,,40.7128987867,-73.9898646367,261.0,005800,40.743154205,-73.990299735,1604.64549458,3182,11558,2306,4083,005800,164037511.755,000600,59149181.7526,000600,28553756.0,005800,000600,0.0,130970,69165,hub,hub,non_hub,585246.786708,4510735.64918,585322.159723,4507377.5136
50,50,120,85.0,000600,,40.7128987867,-73.9898646367,93.0,005900,40.73049393,-73.9957214,973.852614261,5516,11558,3276,4083,005900,71785177.1361,000600,59149181.7526,000600,28553756.0,005900,000600,0.0,53180,69165,hub,hub,non_hub,584805.117401,4509325.01914,585322.159723,4507377.5136
51,51,320,170.0,000600,,40.7128987867,-73.9898646367,189.0,006000,40.734822295,-73.976916765,1226.6225912,5286,11558,2459,4083,006000,27468182.8943,000600,59149181.7526,000600,28553756.0,006000,000600,0.0,80462,69165,hub,hub,non_hub,586387.478737,4509823.83141,585322.159723,4507377.5136
52,52,1228,340.0,000600,,40.7128987867,-73.9898646367,423.0,006100,40.73385254,-73.992357065,1102.44130739,4913,11558,2683,4083,006100,91682014.33,000600,59149181.7526,000600,28553756.0,006100,000600,0.0,245510,69165,hub,hub,non_hub,585084.940162,4509701.10308,585322.159723,4507377.5136
53,53,166,85.0,000600,,40.7128987867,-73.9898646367,90.0,006200,40.7381765,-73.97738662,1289.6267096,4680,11558,1401,4083,006200,231817485.533,000600,59149181.7526,000600,28553756.0,006200,000600,0.0,33218,69165,hub,hub,non_hub,586343.467107,4510195.70961,585322.159723,4507377.5136
54,54,306,255.0,000600,,40.7128987867,-73.9898646367,297.0,006300,40.7346940933,-73.99785666,1194.05243138,6076,11558,4277,4083,006300,85447631.8451,000600,59149181.7526,000600,28553756.0,006300,000600,0.0,120233,69165,hub,hub,non_hub,584619.48321,4509789.20591,585322.159723,4507377.5136
55,55,180,85.0,000600,,40.7128987867,-73.9898646367,117.0,006400,40.73587678,-73.98205027,1183.05432865,7518,11558,5058,4083,006400,95664936.1545,000600,59149181.7526,000600,28553756.0,006400,000600,0.0,47750,69165,hub,hub,non_hub,585952.649806,4509935.84788,585322.159723,4507377.5136
56,56,471,255.0,000600,,40.7128987867,-73.9898646367,318.0,006500,40.7306296367,-73.9991423,1043.73923027,6517,11558,3568,4083,006500,59290910.3694,000600,59149181.7526,000600,28553756.0,006500,000600,0.0,125356,69165,hub,hub,non_hub,584516.067395,4509336.78488,585322.159723,4507377.5136
57,57,395,170.0,000600,,40.7128987867,-73.9898646367,246.0,006600,40.739285505,-73.97827188,1356.61878507,11780,11558,6818,4083,006600,84730469.4548,000600,59149181.7526,000600,28553756.0,006600,000600,0.0,74621,69165,hub,hub,non_hub,586267.286922,4510317.94668,585322.159723,4507377.5136
58,58,261,85.0,000600,,40.7128987867,-73.9898646367,117.0,006700,40.73038599,-74.00214988,1083.71612438,4984,11558,3796,4083,006700,47238039.9972,000600,59149181.7526,000600,28553756.0,006700,000600,0.0,70025,69165,hub,hub,non_hub,584262.399901,4509306.84766,585322.159723,4507377.5136
59,59,198,85.0,000600,,40.7128987867,-73.9898646367,117.0,006800,40.74025878,-73.98409214,1261.08047948,6735,11558,4494,4083,006800,130298431.446,000600,59149181.7526,000600,28553756.0,006800,000600,0.0,58926,69165,hub,hub,non_hub,585774.608423,4510420.28363,585322.159723,4507377.5136
60,60,326,170.0,000600,,40.7128987867,-73.9898646367,201.0,006900,40.732319905,-74.0069291,1231.77122883,2687,11558,1484,4083,006900,61292499.9331,000600,59149181.7526,000600,28553756.0,006900,000600,0.0,130727,69165,hub,hub,non_hub,583856.38945,4509516.94969,585322.159723,4507377.5136
61,61,449,255.0,000600,,40.7128987867,-73.9898646367,381.0,007000,40.7425452388,-73.9756730632,1396.08559512,8302,11558,5669,4083,007000,78634704.8451,000600,59149181.7526,000600,28553756.0,007000,000600,0.0,145227,69165,hub,hub,non_hub,586482.493116,4510682.35763,585322.159723,4507377.5136
62,62,110,170.0,000600,,40.7128987867,-73.9898646367,213.0,007100,40.736526545,-74.000108805,1558.68388695,5633,11558,3844,4083,007100,68447429.2743,000600,59149181.7526,000600,28553756.0,007100,000600,0.0,79459,69165,hub,hub,non_hub,584426.995774,4509990.4524,585322.159723,4507377.5136
63,63,520,255.0,000600,,40.7128987867,-73.9898646367,378.0,007200,40.7447014833,-73.98154809,1422.59517675,7734,11558,5222,4083,007200,132092861.454,000600,59149181.7526,000600,28553756.0,007200,000600,0.0,157612,69165,hub,hub,non_hub,585983.687715,4510915.94446,585322.159723,4507377.5136
64,64,193,170.0,000600,,40.7128987867,-73.9898646367,177.0,007300,40.734682705,-74.00388484,1471.64156515,5615,11558,4547,4083,007300,48716185.79,000600,59149181.7526,000600,28553756.0,007300,000600,0.0,92567,69165,hub,hub,non_hub,584110.479319,4509782.14883,585322.159723,4507377.5136
65,65,189,170.0,000600,,40.7128987867,-73.9898646367,258.0,007400,40.746413585,-73.98586892,1517.11132818,4179,11558,2700,4083,007400,170614202.951,000600,59149181.7526,000600,28553756.0,007400,000600,0.0,81121,69165,hub,hub,non_hub,585616.696258,4511101.7763,585322.159723,4507377.5136
66,66,204,170.0,000600,,40.7128987867,-73.9898646367,207.0,007600,40.74737476,-73.988320695,1581.59585912,2203,11558,1573,4083,007600,242014413.464,000600,59149181.7526,000600,28553756.0,007600,000600,0.0,97464,69165,hub,hub,non_hub,585408.475283,4511206.08492,585322.159723,4507377.5136
67,67,180,85.0,000600,,40.7128987867,-73.9898646367,129.0,007700,40.7390169121,-74.0026376103,1257.41977126,5404,11558,4254,4083,007700,59306273.1509,000600,59149181.7526,000600,28553756.0,007700,000600,0.0,79025,69165,hub,hub,non_hub,584210.329106,4510264.47156,585322.159723,4507377.5136
68,68,149,85.0,000600,,40.7128987867,-73.9898646367,117.0,007800,40.74780373,-73.9734419,1499.3078421,7380,11558,5372,4083,007800,112124597.728,000600,59149181.7526,000600,28553756.0,007800,000600,0.0,59601,69165,hub,hub,non_hub,586664.043115,4511268.28888,585322.159723,4507377.5136
69,69,252,425.0,000600,,40.7128987867,-73.9898646367,522.0,007900,40.738916514,-74.007286026,1464.72974226,4406,11558,2904,4083,007900,86937368.5918,000600,59149181.7526,000600,28553756.0,007900,000600,0.0,171846,69165,hub,hub,non_hub,583817.969395,4510248.87788,585322.159723,4507377.5136
70,70,106,170.0,000600,,40.7128987867,-73.9898646367,213.0,008000,40.7485693,-73.97717991,1601.82383029,4946,11558,3730,4083,008000,197763821.532,000600,59149181.7526,000600,28553756.0,008000,000600,0.0,74808,69165,hub,hub,non_hub,586347.477591,4511349.58844,585322.159723,4507377.5136
71,71,61,85.0,000600,,40.7128987867,-73.9898646367,117.0,008100,40.73935542,-73.99931783,1468.20390071,8675,11558,5315,4083,008100,91100400.6907,000600,59149181.7526,000600,28553756.0,008100,000600,0.0,53195,69165,hub,hub,non_hub,584490.204148,4510305.23824,585322.159723,4507377.5136
72,72,432,255.0,000600,,40.7128987867,-73.9898646367,525.0,008200,40.751971343,-73.9793962002,1608.50377183,3442,11558,2534,4083,008200,262405408.076,000600,59149181.7526,000600,28553756.0,008200,000600,0.0,228612,69165,hub,hub,non_hub,586155.981571,4511725.06197,585322.159723,4507377.5136
73,73,331,340.0,000600,,40.7128987867,-73.9898646367,357.0,008300,40.742591315,-74.004102785,1471.37529996,4211,11558,2321,4083,008300,119862327.354,000600,59149181.7526,000600,28553756.0,008300,000600,0.0,186113,69165,hub,hub,non_hub,584082.11654,4510659.85081,585322.159723,4507377.5136
74,74,31,85.0,000600,,40.7128987867,-73.9898646367,114.0,008400,40.75038009,-73.98338988,1639.65384615,1726,11558,1041,4083,008400,147824461.739,000600,59149181.7526,000600,28553756.0,008400,000600,0.0,34199,69165,hub,hub,non_hub,585820.889203,4511544.50828,585322.159723,4507377.5136
75,75,383,85.0,000600,,40.7128987867,-73.9898646367,129.0,008601,40.744219,-73.97121214,1476.02923602,2551,11558,1528,4083,008601,31141773.9073,000600,59149181.7526,000600,28553756.0,008601,000600,0.0,31961,69165,hub,hub,non_hub,586856.951039,4510872.56191,585322.159723,4507377.5136
76,76,328,170.0,000600,,40.7128987867,-73.9898646367,234.0,008700,40.74206378,-73.995708955,1411.83360821,6671,11558,4249,4083,008700,85660216.7821,000600,59149181.7526,000600,28553756.0,008700,000600,0.0,152953,69165,hub,hub,non_hub,584791.475936,4510609.36503,585322.159723,4507377.5136
77,77,129,170.0,000600,,40.7128987867,-73.9898646367,234.0,008800,40.75012189,-73.970133575,1704.83060852,6964,11558,5507,4083,008800,216532475.876,000600,59149181.7526,000600,28553756.0,008800,000600,0.0,43247,69165,hub,hub,non_hub,586940.323322,4511528.89362,585322.159723,4507377.5136
78,78,159,255.0,000600,,40.7128987867,-73.9898646367,360.0,008900,40.74529008,-74.0021768567,1573.66273372,5560,11558,3511,4083,008900,54419260.2723,000600,59149181.7526,000600,28553756.0,008900,000600,0.0,158638,69165,hub,hub,non_hub,584241.316685,4510961.27944,585322.159723,4507377.5136
79,79,168,255.0,000600,,40.7128987867,-73.9898646367,330.0,009000,40.75261798,-73.9703317533,1689.63218011,7026,11558,5832,4083,009000,208846060.851,000600,59149181.7526,000600,28553756.0,009000,000600,0.0,74531,69165,hub,hub,non_hub,586920.342162,4511805.78171,585322.159723,4507377.5136
80,80,60,85.0,000600,,40.7128987867,-73.9898646367,117.0,009100,40.74487634,-73.99529885,1465.89259259,6415,11558,4386,4083,009100,127325659.041,000600,59149181.7526,000600,28553756.0,009100,000600,0.0,63878,69165,hub,hub,non_hub,584822.527687,4510921.97538,585322.159723,4507377.5136
81,81,60,170.0,000600,,40.7128987867,-73.9898646367,330.0,009200,40.7548518863,-73.9734329075,1846.20627706,1754,11558,1461,4083,009200,408192557.246,000600,59149181.7526,000600,28553756.0,009200,000600,0.0,72226,69165,hub,hub,non_hub,586655.650548,4512050.69496,585322.159723,4507377.5136
82,82,46,85.0,000600,,40.7128987867,-73.9898646367,117.0,009300,40.74475148,-73.99915362,1331.97916667,9705,11558,5585,4083,009300,68528055.2433,000600,59149181.7526,000600,28553756.0,009300,000600,0.0,52202,69165,hub,hub,non_hub,584497.239363,4510904.39701,585322.159723,4507377.5136
83,83,35,85.0,000600,,40.7128987867,-73.9898646367,93.0,009400,40.75320159,-73.9779874,1767.27348485,29,11558,16,4083,009400,299218147.811,000600,59149181.7526,000600,28553756.0,009400,000600,0.0,82147,69165,hub,hub,non_hub,586273.319314,4511863.01244,585322.159723,4507377.5136
84,84,58,85.0,000600,,40.7128987867,-73.9898646367,153.0,009500,40.746647,-73.993915,1625.06666667,3425,11558,1416,4083,009500,129660033.725,000600,59149181.7526,000600,28553756.0,009500,000600,0.0,57488,69165,hub,hub,non_hub,584937.108907,4511119.86954,585322.159723,4507377.5136
85,85,62,255.0,000600,4.74848575622,40.7129248325,-73.9901273125,420.0,009600,40.7562102162,-73.98042826,1616.50991326,153,11558,268,4083,009600,270304841.585,000600,59149181.7526,000600,28553756.0,009600,000600,0.0,71527,69165,hub,hub,non_hub,586063.390335,4512194.59547,585299.938938,4507380.14971
86,86,116,255.0,000600,3.98559807074,40.7130447513,-73.9896064125,297.0,009700,40.7496132725,-73.9993691813,1747.28370587,4744,11558,2827,4083,009700,83018263.1602,000600,59149181.7526,000600,28553756.0,009700,000600,0.0,118804,69165,hub,hub,non_hub,584472.887375,4511443.88322,585343.784848,4507393.9675
87,87,58,170.0,000600,,40.7128987867,-73.9898646367,210.0,009800,40.755285655,-73.96667288,1828.59054973,7105,11558,5244,4083,009800,115943808.909,000600,59149181.7526,000600,28553756.0,009800,000600,0.0,40039,69165,hub,hub,non_hub,587225.727282,4512105.54383,585322.159723,4507377.5136
88,88,383,425.0,000600,,40.7128987867,-73.9898646367,555.0,009900,40.7520807866,-74.0031899092,1402.24748234,3617,11558,2438,4083,009900,404439511.776,000600,59149181.7526,000600,28553756.0,009900,000600,0.0,208076,69165,hub,hub,non_hub,584147.226991,4511714.12465,585322.159723,4507377.5136
89,89,80,255.0,000600,,40.7128987867,-73.9898646367,363.0,010000,40.7583696933,-73.9710287767,1676.27946683,1829,11558,1399,4083,010000,366457143.613,000600,59149181.7526,000600,28553756.0,010000,000600,0.0,72085,69165,hub,hub,non_hub,586854.014885,4512443.57459,585322.159723,4507377.5136
90,90,180,255.0,000600,,40.7128987867,-73.9898646367,381.0,010100,40.74945622,-73.9903382667,1614.6557961,1119,11558,828,4083,010100,246168211.101,000600,59149181.7526,000600,28553756.0,010100,000600,0.0,183377,69165,hub,hub,non_hub,585235.486219,4511435.18064,585322.159723,4507377.5136
