Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_Elev, se_Elev, t_Elev, est_Slope, se_Slope, t_Slope, est_SinAspct, se_SinAspct, t_SinAspct, est_CosAspct, se_CosAspct, t_CosAspct, est_AbsSouth, se_AbsSouth, t_AbsSouth, est_DistStrm, se_DistStrm, t_DistStrm, y, yhat, localpdev, Ginfluence
   14, 15, 630007.1875, 5194813.5,         0.480742,         2.694339,         0.178427,        -0.002500,         0.000657,        -3.803055,         0.050936,         0.023752,         2.144523,         0.169523,         0.250957,         0.675505,        -2.098790,         2.106090,        -0.996534,         0.021112,         0.028627,         0.737481,        -0.002069,         0.001997,        -1.036187,         1.000000,         0.586989,         0.221236,         0.063560
   15, 16, 627247, 5194165,         0.653689,         2.845578,         0.229721,        -0.002492,         0.000695,        -3.586429,         0.044026,         0.025181,         1.748432,         0.210618,         0.263990,         0.797827,        -2.104000,         2.225979,        -0.945202,         0.021859,         0.030263,         0.722303,        -0.002043,         0.002122,        -0.962790,         1.000000,         0.815685,         0.203227,         0.064350
   16, 17, 621390.75, 5193554,         1.140832,         2.912684,         0.391677,        -0.002007,         0.000686,        -2.927863,         0.036802,         0.025167,         1.462318,         0.283699,         0.270566,         1.048538,        -1.229918,         2.274188,        -0.540816,         0.012558,         0.031000,         0.405105,        -0.001839,         0.002068,        -0.889472,         1.000000,         0.674741,         0.145138,         0.039534
   17, 18, 618200.875, 5193368,         1.410995,         2.719220,         0.518897,        -0.001858,         0.000635,        -2.923643,         0.042012,         0.023238,         1.807873,         0.292871,         0.258525,         1.132852,        -0.658744,         2.123631,        -0.310197,         0.005189,         0.028938,         0.179329,        -0.001758,         0.001913,        -0.919041,         1.000000,         0.879193,         0.143698,         0.039186
   18, 19, 621822.375, 5193318.5,         1.096035,         2.911251,         0.376483,        -0.002066,         0.000688,        -3.002027,         0.037189,         0.025254,         1.472633,         0.277365,         0.269924,         1.027568,        -1.320837,         2.274292,        -0.580768,         0.013661,         0.030989,         0.440842,        -0.001786,         0.002075,        -0.860868,         1.000000,         0.535553,         0.150153,         0.056625
   19, 20, 606497.125, 5193203.5,         1.950257,         2.797694,         0.697094,        -0.002854,         0.000704,        -4.054548,         0.058856,         0.023197,         2.537265,         0.315738,         0.275334,         1.146746,        -0.682226,         2.166648,        -0.314876,         0.004204,         0.029463,         0.142687,        -0.001568,         0.001926,        -0.813936,         1.000000,         0.645389,         0.234909,         0.107171
   20, 21, 599814.4375, 5191332,         1.694147,         2.776350,         0.610207,        -0.003046,         0.000710,        -4.289092,         0.074601,         0.023243,         3.209668,         0.188788,         0.267164,         0.706640,        -0.645120,         2.151528,        -0.299843,         0.003327,         0.029263,         0.113684,        -0.001331,         0.001892,        -0.703273,         1.000000,         0.868001,         0.267163,         0.049079
   21, 22, 622664.625, 5191268,         1.021270,         2.865263,         0.356432,        -0.002306,         0.000694,        -3.322583,         0.041467,         0.025340,         1.636402,         0.229572,         0.263369,         0.871676,        -1.475207,         2.245982,        -0.656820,         0.015447,         0.030519,         0.506142,        -0.001222,         0.002049,        -0.596466,         1.000000,         0.716577,         0.173150,         0.146803
   22, 23, 604957.75, 5191129.5,         1.844003,         2.753793,         0.669623,        -0.002898,         0.000697,        -4.155402,         0.067687,         0.022904,         2.955241,         0.236399,         0.268518,         0.880383,        -0.545154,         2.133500,        -0.255521,         0.002355,         0.029008,         0.081174,        -0.001308,         0.001874,        -0.697866,         1.000000,         0.799102,         0.246931,         0.080004
   23, 24, 605312.5, 5190803.5,         1.847068,         2.737382,         0.674757,        -0.002864,         0.000692,        -4.139235,         0.067863,         0.022793,         2.977416,         0.231518,         0.267228,         0.866369,        -0.499272,         2.121668,        -0.235320,         0.001791,         0.028843,         0.062081,        -0.001271,         0.001863,        -0.682170,         1.000000,         0.691904,         0.244682,         0.085970
   24, 25, 619922.3125, 5190778.5,         1.293498,         2.807888,         0.460666,        -0.001981,         0.000665,        -2.979106,         0.044532,         0.024368,         1.827454,         0.237664,         0.258371,         0.919858,        -0.740006,         2.201247,        -0.336176,         0.006742,         0.029934,         0.225216,        -0.001018,         0.001941,        -0.524623,         1.000000,         0.730210,         0.149405,         0.069067
   25, 26, 620032.5, 5190592,         1.229666,         2.779418,         0.442419,        -0.002012,         0.000659,        -3.051227,         0.045716,         0.024172,         1.891299,         0.230816,         0.255677,         0.902766,        -0.796362,         2.179121,        -0.365451,         0.007368,         0.029624,         0.248705,        -0.001013,         0.001922,        -0.527193,         1.000000,         0.710799,         0.155035,         0.096859
   26, 27, 611927.3125, 5189356.5,         1.680437,         2.529335,         0.664379,        -0.002114,         0.000613,        -3.449168,         0.061473,         0.021290,         2.887435,         0.239918,         0.248655,         0.964860,        -0.017927,         1.967641,        -0.009111,        -0.003432,         0.026717,        -0.128471,        -0.000985,         0.001723,        -0.571651,         1.000000,         0.849481,         0.185906,         0.037134
   27, 28, 604447.4375, 5189277,         1.904852,         2.789808,         0.682790,        -0.002933,         0.000707,        -4.146101,         0.072954,         0.023313,         3.129292,         0.184254,         0.272278,         0.676714,        -0.357611,         2.165201,        -0.165163,        -0.000123,         0.029431,        -0.004178,        -0.001085,         0.001885,        -0.575850,         1.000000,         0.914000,         0.251958,         0.037816
   28, 29, 625240.6875, 5188786.5,         0.787515,         2.863022,         0.275064,        -0.002802,         0.000738,        -3.798525,         0.048848,         0.026199,         1.864487,         0.116498,         0.264547,         0.440369,        -2.031899,         2.248636,        -0.903614,         0.021090,         0.030404,         0.693637,        -0.000654,         0.002095,        -0.312311,         1.000000,         0.855106,         0.226253,         0.038865
   29, 30, 615202.125, 5187595.5,         1.186487,         2.562460,         0.463027,        -0.001838,         0.000610,        -3.011960,         0.065460,         0.021737,         3.011411,         0.186000,         0.244345,         0.761221,        -0.018888,         1.998828,        -0.009449,        -0.002832,         0.027141,        -0.104346,        -0.000726,         0.001703,        -0.426538,         1.000000,         0.763733,         0.174911,         0.033295
   30, 31, 625293, 5186286.5,         0.702547,         2.964328,         0.237000,        -0.003060,         0.000790,        -3.875198,         0.055505,         0.027449,         2.022142,        -0.001656,         0.275895,        -0.006004,        -2.159888,         2.335542,        -0.924791,         0.022014,         0.031443,         0.700125,         0.000078,         0.002151,         0.036113,         1.000000,         0.460762,         0.256973,         0.068948
   31, 32, 606734.9375, 5185860,         1.740455,         2.742101,         0.634716,        -0.002606,         0.000678,        -3.842254,         0.080002,         0.023281,         3.436324,         0.106174,         0.270432,         0.392609,         0.075597,         2.140512,         0.035317,        -0.005594,         0.029039,        -0.192625,        -0.000707,         0.001841,        -0.383743,         1.000000,         0.307811,         0.236936,         0.067514
   32, 33, 608376.25, 5185400.5,         1.556367,         2.745122,         0.566957,        -0.002387,         0.000670,        -3.561403,         0.080166,         0.023212,         3.453645,         0.106519,         0.270750,         0.393422,         0.165637,         2.140270,         0.077391,        -0.006488,         0.029028,        -0.223517,        -0.000600,         0.001813,        -0.330836,         1.000000,         0.760416,         0.222995,         0.045195
   33, 34, 609096.75, 5185224.5,         1.443300,         2.710558,         0.532473,        -0.002280,         0.000658,        -3.465398,         0.080104,         0.022902,         3.497756,         0.112561,         0.266833,         0.421840,         0.177073,         2.111904,         0.083845,        -0.006549,         0.028644,        -0.228640,        -0.000607,         0.001786,        -0.339884,         1.000000,         0.882287,         0.218242,         0.049691
   34, 35, 609181.5625, 5185170.5,         1.426085,         2.698716,         0.528431,        -0.002267,         0.000654,        -3.464557,         0.080175,         0.022813,         3.514521,         0.113310,         0.265508,         0.426766,         0.175497,         2.102701,         0.083462,        -0.006537,         0.028519,        -0.229211,        -0.000618,         0.001780,        -0.347248,         1.000000,         0.863075,         0.218258,         0.044273
   35, 36, 616571.25, 5184687.5,         0.612338,         2.654335,         0.230694,        -0.001850,         0.000638,        -2.899061,         0.076850,         0.022792,         3.371739,         0.112509,         0.249931,         0.450160,        -0.209642,         2.072810,        -0.101139,        -0.000818,         0.028101,        -0.029118,        -0.000681,         0.001794,        -0.379269,         1.000000,         0.610468,         0.204775,         0.101223
   36, 37, 621072.5625, 5184409.5,         0.415644,         2.839308,         0.146389,        -0.002348,         0.000708,        -3.315697,         0.070660,         0.025332,         2.789342,         0.009781,         0.259504,         0.037690,        -1.119415,         2.229692,        -0.502049,         0.010086,         0.030134,         0.334704,        -0.000275,         0.002029,        -0.135386,         1.000000,         0.924567,         0.239732,         0.038700
   37, 38, 619478.6875, 5184344.5,         0.436091,         2.773745,         0.157221,        -0.002111,         0.000680,        -3.105366,         0.073998,         0.024413,         3.031062,         0.048464,         0.255155,         0.189940,        -0.738035,         2.174788,        -0.339360,         0.005614,         0.029431,         0.190764,        -0.000478,         0.001955,        -0.244656,         1.000000,         0.924950,         0.226233,         0.028289
   38, 39, 620614.4375, 5184022.5,         0.358028,         2.795693,         0.128064,        -0.002260,         0.000695,        -3.254122,         0.073500,         0.024856,         2.957081,         0.015385,         0.256409,         0.060000,        -1.006796,         2.190549,        -0.459609,         0.008572,         0.029624,         0.289348,        -0.000416,         0.002004,        -0.207683,         1.000000,         0.908480,         0.240106,         0.055533
   39, 40, 621050.375, 5181352,        -0.083683,         3.034361,        -0.027578,        -0.002298,         0.000776,        -2.960682,         0.086311,         0.027497,         3.138917,        -0.089999,         0.283991,        -0.316906,        -1.115856,         2.382621,        -0.468331,         0.008909,         0.032146,         0.277152,        -0.000472,         0.002424,        -0.194602,         1.000000,         0.784366,         0.277319,         0.060789
   40, 41, 614195.125, 5180384,         0.297944,         2.818613,         0.105706,        -0.001691,         0.000693,        -2.439556,         0.096620,         0.024582,         3.930434,         0.107672,         0.272799,         0.394692,         0.196455,         2.207243,         0.089005,        -0.007470,         0.029846,        -0.250297,        -0.000994,         0.002004,        -0.496087,         1.000000,         0.641177,         0.231520,         0.054519
   41, 42, 609198.875, 5179613,         1.063687,         2.915204,         0.364876,        -0.001976,         0.000700,        -2.822700,         0.098372,         0.025446,         3.865853,         0.062482,         0.285295,         0.219009,         0.633065,         2.294744,         0.275876,        -0.013712,         0.031034,        -0.441831,        -0.000659,         0.002012,        -0.327491,         1.000000,         0.732322,         0.235057,         0.059642
   42, 43, 604451.25, 5179395.5,         1.735706,         2.835277,         0.612182,        -0.002470,         0.000682,        -3.619241,         0.096309,         0.025236,         3.816298,         0.005179,         0.282247,         0.018350,         0.638328,         2.243771,         0.284489,        -0.014049,         0.030356,        -0.462800,        -0.000578,         0.002014,        -0.286869,         1.000000,         0.435958,         0.254979,         0.058637
   43, 44, 603796.8125, 5179261.5,         1.766476,         2.811844,         0.628227,        -0.002509,         0.000678,        -3.703574,         0.095950,         0.025080,         3.825740,         0.004298,         0.280029,         0.015349,         0.609317,         2.225297,         0.273814,        -0.013706,         0.030112,        -0.455169,        -0.000597,         0.002005,        -0.297988,         1.000000,         0.436607,         0.257495,         0.101868
   44, 45, 604303.875, 5179093,         1.729099,         2.818651,         0.613449,        -0.002463,         0.000677,        -3.638595,         0.096381,         0.025121,         3.836650,         0.005689,         0.280332,         0.020294,         0.636665,         2.230544,         0.285430,        -0.014077,         0.030182,        -0.466401,        -0.000593,         0.002007,        -0.295426,         1.000000,         0.332413,         0.255896,         0.069020
   45, 46, 603182.25, 5179006.5,         1.771060,         2.781108,         0.636818,        -0.002531,         0.000670,        -3.776879,         0.095568,         0.024851,         3.845611,         0.005393,         0.276735,         0.019487,         0.573328,         2.200353,         0.260562,        -0.013282,         0.029783,        -0.445970,        -0.000627,         0.001989,        -0.315182,         1.000000,         0.578269,         0.259672,         0.058964
   46, 47, 604138.1875, 5178967.5,         1.725720,         2.802157,         0.615854,        -0.002467,         0.000672,        -3.667901,         0.096194,         0.024990,         3.849313,         0.006634,         0.278505,         0.023822,         0.621471,         2.217067,         0.280312,        -0.013900,         0.030004,        -0.463248,        -0.000607,         0.001997,        -0.303941,         1.000000,         0.751372,         0.256678,         0.052040
   47, 48, 609056.4375, 5174873.5,         1.123088,         2.739015,         0.410033,        -0.002031,         0.000643,        -3.158712,         0.100240,         0.024360,         4.115038,         0.024245,         0.263216,         0.092110,         0.593219,         2.158764,         0.274796,        -0.014212,         0.029301,        -0.485044,        -0.000803,         0.001940,        -0.414095,         1.000000,         0.876905,         0.256824,         0.049140
   48, 49, 609711.4375, 5173720,         1.024970,         2.704999,         0.378917,        -0.002015,         0.000636,        -3.168316,         0.100247,         0.024084,         4.162343,         0.017555,         0.258368,         0.067947,         0.503839,         2.129570,         0.236592,        -0.013234,         0.028929,        -0.457475,        -0.000851,         0.001918,        -0.443609,         1.000000,         0.811051,         0.260169,         0.051545
   49, 50, 611671, 5172366.5,         0.800034,         2.667461,         0.299923,        -0.001975,         0.000632,        -3.122864,         0.100144,         0.023741,         4.218257,         0.007722,         0.252245,         0.030612,         0.313276,         2.094850,         0.149546,        -0.011023,         0.028484,        -0.386992,        -0.000929,         0.001893,        -0.490790,         1.000000,         0.798700,         0.264784,         0.053432
   50, 51, 619304.9375, 5182670.5,         0.193917,         2.811599,         0.068970,        -0.002063,         0.000698,        -2.953074,         0.082225,         0.024906,         3.301438,         0.016837,         0.261608,         0.064361,        -0.694307,         2.200836,        -0.315474,         0.004483,         0.029769,         0.150597,        -0.000647,         0.002067,        -0.312837,         1.000000,         0.783932,         0.243761,         0.041841
   51, 52, 628210.9375, 5178956.5,        -0.105636,         2.794047,        -0.037807,        -0.002669,         0.000727,        -3.673873,         0.080075,         0.025146,         3.184420,        -0.108863,         0.265920,        -0.409382,        -1.935383,         2.184095,        -0.886126,         0.016756,         0.029447,         0.569018,        -0.000529,         0.002119,        -0.249760,         1.000000,         0.548795,         0.292561,         0.055472
   52, 53, 610556, 5177523,         0.913338,         2.854686,         0.319943,        -0.001876,         0.000681,        -2.755705,         0.101111,         0.025133,         4.023047,         0.064206,         0.275537,         0.233021,         0.635259,         2.248013,         0.282587,        -0.014277,         0.030445,        -0.468941,        -0.000807,         0.002002,        -0.403268,         1.000000,         0.723762,         0.244670,         0.066215
   53, 54, 614326.9375, 5181429.5,         0.324691,         2.794330,         0.116196,        -0.001697,         0.000685,        -2.476119,         0.093221,         0.024185,         3.854477,         0.112549,         0.270855,         0.415534,         0.140425,         2.185694,         0.064247,        -0.006298,         0.029562,        -0.213034,        -0.000924,         0.001959,        -0.471825,         1.000000,         0.832785,         0.223492,         0.056776
   54, 55, 613786, 5182701,         0.488282,         2.755567,         0.177198,        -0.001725,         0.000670,        -2.575901,         0.088528,         0.023542,         3.760495,         0.119588,         0.267702,         0.446719,         0.149163,         2.151392,         0.069333,        -0.005963,         0.029124,        -0.204740,        -0.000780,         0.001867,        -0.417763,         1.000000,         0.694671,         0.211577,         0.071608
   55, 56, 615805.1875, 5184686.5,         0.648586,         2.665571,         0.243320,        -0.001800,         0.000641,        -2.809971,         0.077965,         0.022761,         3.425355,         0.121757,         0.253292,         0.480697,        -0.082299,         2.080968,        -0.039548,        -0.002361,         0.028210,        -0.083690,        -0.000668,         0.001788,        -0.373689,         1.000000,         0.499234,         0.200090,         0.057651
   56, 57, 615976.875, 5185383.5,         0.755594,         2.638014,         0.286425,        -0.001820,         0.000631,        -2.883195,         0.074526,         0.022503,         3.311806,         0.131653,         0.249629,         0.527394,        -0.107649,         2.059421,        -0.052271,        -0.001905,         0.027930,        -0.068190,        -0.000647,         0.001758,        -0.367866,         1.000000,         0.586928,         0.194416,         0.056764
   57, 58, 613550.1875, 5185263.5,         0.947779,         2.553761,         0.371131,        -0.001900,         0.000609,        -3.120733,         0.076581,         0.021610,         3.543787,         0.142659,         0.245715,         0.580590,         0.021968,         1.986645,         0.011058,        -0.004047,         0.026963,        -0.150089,        -0.000744,         0.001682,        -0.442429,         1.000000,         0.479417,         0.201391,         0.058395
   58, 59, 626416.5, 5178311,        -0.157992,         2.803078,        -0.056364,        -0.002556,         0.000724,        -3.529660,         0.083662,         0.025187,         3.321666,        -0.115990,         0.265981,        -0.436083,        -1.738369,         2.188742,        -0.794232,         0.014391,         0.029526,         0.487409,        -0.000551,         0.002135,        -0.257987,         1.000000,         0.730026,         0.293416,         0.035630
   59, 60, 626512.0625, 5178199.5,        -0.158719,         2.796707,        -0.056752,        -0.002551,         0.000722,        -3.533459,         0.083706,         0.025114,         3.332975,        -0.114399,         0.265365,        -0.431100,        -1.734604,         2.183708,        -0.794339,         0.014327,         0.029460,         0.486336,        -0.000564,         0.002126,        -0.265389,         1.000000,         0.640014,         0.293220,         0.045379
   60, 61, 604347.25, 5190509.5,         1.803614,         2.736174,         0.659174,        -0.002901,         0.000693,        -4.182427,         0.070357,         0.022836,         3.080980,         0.212175,         0.266256,         0.796885,        -0.504664,         2.121515,        -0.237879,         0.001772,         0.028843,         0.061438,        -0.001252,         0.001862,        -0.672623,         1.000000,         0.900469,         0.250481,         0.064236
   61, 62, 599867.375, 5191765,         1.638934,         2.740226,         0.598102,        -0.003006,         0.000700,        -4.296615,         0.073841,         0.022962,         3.215721,         0.193961,         0.263581,         0.735868,        -0.679711,         2.123632,        -0.320070,         0.003775,         0.028880,         0.130698,        -0.001375,         0.001873,        -0.734042,         1.000000,         0.817140,         0.265203,         0.053723
   62, 63, 599682, 5191238.5,         1.697488,         2.778513,         0.610934,        -0.003050,         0.000711,        -4.290296,         0.074889,         0.023270,         3.218271,         0.186284,         0.267351,         0.696777,        -0.637592,         2.153401,        -0.296086,         0.003221,         0.029289,         0.109989,        -0.001322,         0.001893,        -0.698373,         1.000000,         0.818625,         0.267646,         0.051586
   63, 64, 599837.6875, 5191565,         1.659066,         2.752257,         0.602802,        -0.003020,         0.000703,        -4.294207,         0.074188,         0.023059,         3.217267,         0.191370,         0.264781,         0.722749,        -0.663826,         2.133015,        -0.311215,         0.003568,         0.029009,         0.122982,        -0.001356,         0.001880,        -0.721564,         1.000000,         0.841792,         0.265930,         0.054591
   64, 65, 599704.25, 5191550,         1.661911,         2.756416,         0.602924,        -0.003026,         0.000705,        -4.295173,         0.074343,         0.023094,         3.219161,         0.190391,         0.265129,         0.718107,        -0.663096,         2.136207,        -0.310408,         0.003553,         0.029053,         0.122291,        -0.001353,         0.001882,        -0.719160,         1.000000,         0.839144,         0.266421,         0.052579
   65, 66, 599500.6875, 5192001,         1.607137,         2.724849,         0.589808,        -0.002994,         0.000695,        -4.305172,         0.073838,         0.022857,         3.230487,         0.193595,         0.261898,         0.739201,        -0.698283,         2.111839,        -0.330651,         0.003997,         0.028718,         0.139171,        -0.001395,         0.001866,        -0.747735,         1.000000,         0.905060,         0.265213,         0.049489
   66, 67, 599444.6875, 5192084,         1.596035,         2.718324,         0.587139,        -0.002987,         0.000693,        -4.307386,         0.073770,         0.022809,         3.234180,         0.193864,         0.261233,         0.742114,        -0.704404,         2.106836,        -0.334342,         0.004072,         0.028649,         0.142146,        -0.001403,         0.001863,        -0.753064,         1.000000,         0.912740,         0.265002,         0.038230
   67, 68, 611350.875, 5181951.5,         0.789654,         2.773409,         0.284723,        -0.001872,         0.000669,        -2.799405,         0.091084,         0.023742,         3.836428,         0.100269,         0.270672,         0.370443,         0.323554,         2.167727,         0.149260,        -0.008799,         0.029349,        -0.299812,        -0.000707,         0.001861,        -0.380109,         1.000000,         0.670748,         0.220225,         0.089036
   68, 69, 611738.8125, 5178156,         0.641424,         2.913169,         0.220181,        -0.001745,         0.000705,        -2.474648,         0.102268,         0.025599,         3.995067,         0.092752,         0.281570,         0.329409,         0.574146,         2.292028,         0.250497,        -0.013286,         0.031003,        -0.428533,        -0.000897,         0.002053,        -0.437026,         1.000000,         0.865155,         0.239739,         0.048887
   69, 70, 614974.9375, 5181098.5,         0.304877,         2.760117,         0.110458,        -0.001735,         0.000677,        -2.562973,         0.093119,         0.024009,         3.878445,         0.097913,         0.265553,         0.368714,         0.061070,         2.157802,         0.028302,        -0.005480,         0.029199,        -0.187668,        -0.000959,         0.001954,        -0.490991,         1.000000,         0.917294,         0.230336,         0.034371
   70, 71, 622161.75, 5184993,         0.464728,         2.813302,         0.165189,        -0.002489,         0.000709,        -3.512265,         0.066514,         0.025286,         2.630507,         0.013920,         0.256993,         0.054164,        -1.376551,         2.206815,        -0.623773,         0.013056,         0.029817,         0.437868,        -0.000267,         0.002006,        -0.132983,         1.000000,         0.777639,         0.242411,         0.053034
   71, 72, 622373.875, 5185006,         0.469627,         2.829386,         0.165982,        -0.002529,         0.000715,        -3.535389,         0.066010,         0.025484,         2.590291,         0.008391,         0.258580,         0.032451,        -1.430920,         2.220448,        -0.644428,         0.013687,         0.029992,         0.456355,        -0.000224,         0.002021,        -0.110740,         1.000000,         0.912566,         0.244249,         0.030066
   72, 73, 618841.875, 5190456.5,         1.403754,         2.771418,         0.506511,        -0.001879,         0.000656,        -2.866379,         0.047100,         0.023919,         1.969143,         0.235989,         0.256365,         0.920522,        -0.443793,         2.172782,        -0.204251,         0.003075,         0.029542,         0.104103,        -0.000933,         0.001900,        -0.491055,         1.000000,         0.907899,         0.144455,         0.048133
   73, 74, 621256.5625, 5190982.5,         1.122226,         2.817629,         0.398287,        -0.002140,         0.000673,        -3.178627,         0.043328,         0.024683,         1.755373,         0.232524,         0.258784,         0.898527,        -1.122765,         2.208587,        -0.508363,         0.011301,         0.030024,         0.376410,        -0.001130,         0.001977,        -0.571712,         1.000000,         0.746531,         0.162398,         0.053881
   74, 75, 621393.5, 5190810.5,         1.109545,         2.821252,         0.393281,        -0.002168,         0.000676,        -3.208106,         0.043590,         0.024765,         1.760171,         0.227374,         0.258797,         0.878578,        -1.152704,         2.212199,        -0.521067,         0.011662,         0.030064,         0.387900,        -0.001079,         0.001980,        -0.545005,         1.000000,         0.724055,         0.164791,         0.071813
   75, 76, 621240.625, 5191011,         1.133155,         2.824332,         0.401212,        -0.002136,         0.000675,        -3.166022,         0.043064,         0.024733,         1.741193,         0.233864,         0.259374,         0.901650,        -1.115349,         2.213865,        -0.503802,         0.011229,         0.030097,         0.373111,        -0.001128,         0.001981,        -0.569476,         1.000000,         0.637489,         0.161343,         0.076372
   76, 77, 621227.875, 5191036.5,         1.140929,         2.828976,         0.403301,        -0.002132,         0.000676,        -3.156588,         0.042871,         0.024766,         1.731036,         0.234938,         0.259792,         0.904332,        -1.109884,         2.217490,        -0.500513,         0.011176,         0.030148,         0.370695,        -0.001129,         0.001984,        -0.568836,         1.000000,         0.681985,         0.160556,         0.062445
