Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_OCC_TEC, se_OCC_TEC, t_OCC_TEC, est_OWNH, se_OWNH, t_OWNH, est_POP65, se_POP65, t_POP65, est_UNEMP, se_UNEMP, t_UNEMP, y, yhat, localpdev, Ginfluence
   10, 10, 389427.64, 9290.1,         6.176318,         0.356077,        17.345464,         3.964406,         0.815313,         4.862436,        -3.048296,         0.213408,       -14.283871,        -6.514182,         1.111681,        -5.859758,         0.200187,         0.071928,         2.783166,        28.000000,        82.172553,         0.728697,         0.330466
   11, 11, 381089.82, 9125.81,         6.521322,         0.355131,        18.363150,         2.749082,         0.818253,         3.359699,        -3.375880,         0.212463,       -15.889262,        -7.397540,         1.077143,        -6.867741,         0.271132,         0.070181,         3.863332,        63.000000,        97.124222,         0.780390,         0.136083
   12, 12, 371082.66, 6843.9,         7.982195,         0.347556,        22.966664,        -1.181106,         0.783327,        -1.507808,        -4.596383,         0.228951,       -20.075829,        -8.789749,         0.970862,        -9.053556,         0.323862,         0.065266,         4.962155,        34.000000,        37.927218,         0.833291,         0.200952
   13, 13, 388281.84, -1760.78,         6.832406,         0.320079,        21.346031,         3.958139,         0.749840,         5.278645,        -3.564375,         0.185018,       -19.264988,        -8.327457,         1.014583,        -8.207766,         0.182055,         0.062678,         2.904601,        17.000000,        18.442186,         0.741230,         0.119735
   14, 14, 386771.66, -4857.11,         7.044233,         0.310670,        22.674312,         4.504898,         0.782767,         5.755095,        -3.904444,         0.174701,       -22.349246,        -8.512018,         1.027822,        -8.281609,         0.191754,         0.060956,         3.145788,        25.000000,        11.993985,         0.758289,         0.095810
   15, 15, 397029.93, 4912.15,         6.338613,         0.349916,        18.114649,         4.446757,         0.801790,         5.546036,        -2.901260,         0.211516,       -13.716536,        -6.986268,         1.075199,        -6.497653,         0.079398,         0.070292,         1.129545,        17.000000,        15.723887,         0.671925,         0.146465
   16, 16, 399583.28, 1217.51,         6.636614,         0.328570,        20.198457,         4.490998,         0.780817,         5.751665,        -3.081212,         0.201544,       -15.287999,        -7.793680,         1.003226,        -7.768616,         0.059231,         0.065100,         0.909844,        31.000000,        18.072884,         0.689585,         0.104803
   17, 17, 389413.79, 18915.59,         6.252293,         0.363994,        17.176918,         3.205111,         0.837159,         3.828558,        -3.063420,         0.222735,       -13.753639,        -6.489067,         1.159840,        -5.594796,         0.220619,         0.071982,         3.064914,        27.000000,        16.940241,         0.761202,         0.164379
   18, 18, 374811.31, 23395.2,         7.731427,         0.444089,        17.409637,        -0.503167,         0.945861,        -0.531967,        -3.810451,         0.282959,       -13.466444,        -8.580394,         1.240530,        -6.916714,         0.139223,         0.069063,         2.015895,        10.000000,        24.457584,         0.808565,         0.233181
   19, 19, 366291.01, 3851.09,         7.925930,         0.288560,        27.467192,        -2.136783,         0.667745,        -3.199997,        -5.358072,         0.215178,       -24.900701,        -5.153865,         0.980240,        -5.257761,         0.511223,         0.061032,         8.376363,        42.000000,        38.188622,         0.843031,         0.143790
   20, 20, 362053.67, 7027.25,         7.739533,         0.300070,        25.792431,        -2.818312,         0.687997,        -4.096401,        -5.388388,         0.238509,       -22.591930,        -2.711168,         1.093140,        -2.480166,         0.560874,         0.058970,         9.511158,        20.000000,        32.432792,         0.834878,         0.242982
   21, 21, 350567.45, 26456.28,         7.420661,         0.384778,        19.285568,         0.042411,         0.925782,         0.045811,        -3.675216,         0.342484,       -10.731072,        -3.863457,         1.185006,        -3.260284,        -0.041548,         0.048456,        -0.857434,        40.000000,        27.424355,         0.749127,         0.116209
   22, 22, 356783.59, 23682.89,         7.742560,         0.345492,        22.410271,        -0.829614,         0.826997,        -1.003164,        -4.038094,         0.290652,       -13.893215,        -5.136214,         1.076842,        -4.769701,         0.062888,         0.044715,         1.406435,        15.000000,        31.477570,         0.803891,         0.126940
   23, 23, 356225.47, 19763.98,         7.860539,         0.328656,        23.917231,        -0.992961,         0.790434,        -1.256222,        -4.120106,         0.278756,       -14.780322,        -5.909061,         1.036975,        -5.698364,         0.097378,         0.044050,         2.210600,        47.000000,        42.611027,         0.806162,         0.140486
   24, 24, 338360.54, 25697.56,         7.649432,         0.420180,        18.205139,         3.483176,         1.456738,         2.391080,        -4.704810,         0.386191,       -12.182585,         1.612875,         1.289425,         1.250848,        -0.182063,         0.058279,        -3.124005,        68.000000,        92.342870,         0.641948,         0.690685
   25, 25, 337846.31, 18213.38,         8.541858,         0.362381,        23.571474,         6.425882,         1.555598,         4.130811,        -5.649886,         0.348467,       -16.213545,         1.238173,         1.317262,         0.939960,        -0.311651,         0.059447,        -5.242504,        17.000000,        30.817413,         0.707070,         0.117822
   26, 26, 344074.13, 27136.92,         7.376008,         0.420136,        17.556222,         0.257388,         1.007524,         0.255466,        -3.883106,         0.381990,       -10.165477,        -1.790673,         1.243331,        -1.440222,        -0.067724,         0.050445,        -1.342530,        57.000000,        43.273255,         0.680618,         0.140213
   27, 27, 349087.82, 19336.47,         7.851370,         0.341596,        22.984400,        -0.286690,         0.830822,        -0.345068,        -3.934686,         0.306635,       -12.831811,        -5.846926,         1.082117,        -5.403226,        -0.010685,         0.045091,        -0.236963,        40.000000,        28.373255,         0.750146,         0.118991
   28, 28, 343402.57, 18620.67,         8.203201,         0.352525,        23.269861,         0.275197,         0.890558,         0.309017,        -4.446599,         0.325329,       -13.667992,        -4.453096,         1.113072,        -4.000727,        -0.082040,         0.046055,        -1.781333,        47.000000,        57.912215,         0.715426,         0.160538
   29, 29, 359036.48, 1198.74,         6.550302,         0.253111,        25.879201,         2.223852,         0.584351,         3.805682,        -5.278761,         0.162860,       -32.412952,         0.849941,         0.922041,         0.921804,         0.664584,         0.047984,        13.850057,        49.000000,        50.817476,         0.807209,         0.137593
   30, 30, 370771.99, -1522.12,         7.663730,         0.290321,        26.397437,         0.293713,         0.687943,         0.426944,        -5.266652,         0.181074,       -29.085617,        -7.524673,         0.943853,        -7.972294,         0.536460,         0.063509,         8.447044,        49.000000,        51.852175,         0.858039,         0.154572
   31, 31, 376842.13, -7139.16,         7.410573,         0.279867,        26.478907,         3.479690,         0.935630,         3.719089,        -4.765319,         0.153054,       -31.134953,        -8.785457,         1.151890,        -7.626994,         0.368879,         0.060430,         6.104244,        27.000000,        29.628678,         0.823232,         0.111860
   32, 32, 318049.53, 32744.59,         1.419000,         0.410870,         3.453642,        31.648338,         2.413305,        13.114104,        -3.631013,         0.289583,       -12.538751,        22.119867,         1.927420,        11.476415,         0.020112,         0.069111,         0.291011,       120.000000,        84.847583,         0.699840,         0.247941
   33, 33, 325761.21, 31092.21,         4.403506,         0.337139,        13.061388,        16.567510,         1.957585,         8.463239,        -3.904257,         0.263980,       -14.789953,        12.156812,         1.667245,         7.291558,        -0.082662,         0.067238,        -1.229395,        28.000000,        32.542622,         0.685944,         0.221007
   34, 34, 318112.24, 28405.62,         1.719096,         0.388014,         4.430502,        31.510210,         2.277169,        13.837447,        -3.927400,         0.274371,       -14.314181,        22.063361,         1.846514,        11.948654,        -0.003611,         0.066485,        -0.054313,        16.000000,        25.338043,         0.708498,         0.123695
   35, 35, 310480.1, 28809.03,         0.375899,         0.359543,         1.045490,        34.798858,         1.985183,        17.529294,        -4.307890,         0.297508,       -14.479914,        28.306385,         2.108676,        13.423774,         0.228558,         0.067923,         3.364982,        14.000000,        23.411518,         0.709335,         0.117369
   36, 36, 306513.97, 32751.48,         0.515531,         0.351352,         1.467278,        33.054239,         1.960778,        16.857719,        -4.174878,         0.306908,       -13.603009,        26.249535,         2.035365,        12.896723,         0.275825,         0.070729,         3.899731,        43.000000,       104.269333,         0.701067,         0.731489
   37, 37, 311395.51, 33538.42,         0.092823,         0.392644,         0.236405,        37.386385,         2.217316,        16.861099,        -4.034377,         0.306083,       -13.180642,        29.009071,         2.167542,        13.383392,         0.134106,         0.068619,         1.954357,        29.000000,        15.940490,         0.700865,         0.149871
   38, 38, 314408.34, -4572.95,         7.120490,         0.272849,        26.096833,        11.258282,         0.818876,        13.748450,        -3.491995,         0.206454,       -16.914170,         9.508298,         1.139033,         8.347695,        -0.803691,         0.068964,       -11.653835,       401.000000,       151.279293,         0.385370,         0.093487
   39, 39, 303850.22, 22478,         2.919080,         0.284714,        10.252680,        13.737755,         1.229091,        11.177162,        -3.980916,         0.290116,       -13.721798,        11.271257,         1.747567,         6.449686,         0.639167,         0.086109,         7.422780,       210.000000,       121.834838,         0.709080,         0.270104
   40, 40, 337540.25, -12310.61,         8.593829,         0.150626,        57.054240,        -5.390188,         0.351209,       -15.347521,        -4.024782,         0.135761,       -29.646128,         3.311213,         0.337147,         9.821272,        -0.135749,         0.021700,        -6.255754,       711.000000,       347.054508,         0.466109,         0.146011
   41, 41, 330948.96, -8687.59,        13.643524,         0.263915,        51.696671,       -14.058219,         0.640710,       -21.941634,        -6.092492,         0.166675,       -36.553069,        27.143635,         0.700190,        38.766104,        -1.831951,         0.053378,       -34.320555,       544.000000,       329.882990,         0.428429,         0.198848
   42, 42, 327143.99, -3103.01,        12.465946,         0.303351,        41.094120,        -1.069600,         0.734606,        -1.456020,        -6.682931,         0.192553,       -34.706961,        14.946407,         0.827549,        18.061063,        -1.561792,         0.060652,       -25.749864,       557.000000,       275.703268,         0.476180,         0.145954
   43, 43, 312830.72, 21412.1,         1.709372,         0.317943,         5.376342,        28.336174,         1.768370,        16.023896,        -4.647766,         0.261658,       -17.762756,        23.220482,         1.891376,        12.277031,         0.281906,         0.065582,         4.298529,       132.000000,        84.382378,         0.726901,         0.119559
   44, 44, 312874.14, -17053.63,         4.837183,         0.277818,        17.411337,         2.849541,         0.734736,         3.878317,         0.128994,         0.202783,         0.636115,        11.272008,         1.334764,         8.444943,        -0.397610,         0.049665,        -8.005842,       395.000000,       158.962243,         0.138049,         0.183871
   45, 45, 293680.38, -8010.1,         4.960215,         0.298778,        16.601667,         8.483250,         0.936171,         9.061648,        -1.982949,         0.228458,        -8.679693,        -5.660378,         0.987850,        -5.729997,         0.096157,         0.058332,         1.648455,        97.000000,        64.189759,         0.591959,         0.105585
   46, 46, 325185.11, 20460.45,         6.985312,         0.311628,        22.415580,        14.600853,         1.729309,         8.443171,        -6.248756,         0.258249,       -24.196672,        12.215887,         1.473462,         8.290600,        -0.313140,         0.062492,        -5.010901,        91.000000,        78.651701,         0.725035,         0.196045
   47, 47, 305971.31, 8472,         6.681146,         0.385577,        17.327660,         1.043266,         1.245172,         0.837849,        -5.328314,         0.406632,       -13.103515,         3.974178,         1.825556,         2.176969,         0.377423,         0.094753,         3.983245,        97.000000,        92.804692,         0.672579,         0.127057
   48, 48, 335330.5, -108.19,        11.467144,         0.240628,        47.655067,         0.280718,         0.636745,         0.440864,        -5.965516,         0.163017,       -36.594389,        -0.279222,         0.954055,        -0.292669,        -0.905404,         0.052620,       -17.206517,       148.000000,        89.218139,         0.592046,         0.171455
   49, 49, 339115.66, 3202.05,        10.428717,         0.229585,        45.424151,         5.020257,         0.633354,         7.926468,        -5.828639,         0.162548,       -35.857848,        -8.813981,         1.044750,        -8.436447,        -0.494985,         0.051152,        -9.676692,       269.000000,       196.907735,         0.669023,         0.231933
   50, 50, 309271.13, -10589.17,         4.060642,         0.240822,        16.861560,         8.898793,         0.640793,        13.887146,        -0.150140,         0.175442,        -0.855779,        -1.692074,         1.063328,        -1.591300,        -0.034171,         0.048888,        -0.698968,       183.000000,       139.357580,         0.224199,         0.107498
   51, 51, 319972.62, 24634.35,         2.968771,         0.349143,         8.503023,        27.098207,         2.092797,        12.948318,        -4.330371,         0.253174,       -17.104317,        18.892071,         1.714605,        11.018322,        -0.072580,         0.064049,        -1.133201,        86.000000,        64.209301,         0.714618,         0.110506
   52, 52, 317013.43, 12374.14,         5.848682,         0.432616,        13.519344,        18.748491,         1.884646,         9.948018,        -7.137589,         0.297867,       -23.962367,        20.363479,         1.643043,        12.393758,        -0.073397,         0.073122,        -1.003762,        86.000000,        80.260083,         0.745695,         0.113571
   53, 53, 323345.93, 2314.46,         8.376387,         0.371786,        22.530151,        13.177070,         1.150338,        11.454960,        -5.170741,         0.256816,       -20.134054,         8.221768,         1.112028,         7.393487,        -0.868753,         0.062292,       -13.946501,       244.000000,       164.874861,         0.620462,         0.233159
   54, 54, 327610.55, -7504.02,        13.506643,         0.276107,        48.918059,        -9.046932,         0.629671,       -14.367720,        -6.744622,         0.173535,       -38.866039,        26.396492,         0.609241,        43.326839,        -1.889846,         0.053721,       -35.178798,       120.000000,       273.880422,         0.412251,         0.192904
   55, 55, 343813.29, -11626.17,         8.150003,         0.144592,        56.365641,        -3.289736,         0.345283,        -9.527646,        -4.368083,         0.119936,       -36.420180,        -2.124040,         0.336996,        -6.302869,         0.173337,         0.023889,         7.255995,       297.000000,       381.397339,         0.579584,         0.195449
   56, 56, 342508.85, -4698.16,         8.538621,         0.226036,        37.775534,        -0.637114,         0.524038,        -1.215777,        -4.805556,         0.143170,       -33.565342,         1.497324,         0.519075,         2.884599,        -0.077389,         0.045410,        -1.704238,       393.000000,       198.592330,         0.619080,         0.118590
   57, 57, 333426.78, -13559.3,         8.746646,         0.157070,        55.686204,        -5.988864,         0.332000,       -18.038773,        -3.940017,         0.148196,       -26.586498,         6.329910,         0.347368,        18.222469,        -0.286614,         0.020507,       -13.976333,       103.000000,       332.978391,         0.443755,         0.088245
   58, 58, 330824.95, -14794.45,         9.163816,         0.175422,        52.238768,        -6.784058,         0.351981,       -19.273918,        -4.229137,         0.166594,       -25.385906,        10.233305,         0.384986,        26.580969,        -0.480524,         0.022137,       -21.706646,       136.000000,       411.177913,         0.439919,         0.476065
   59, 59, 304617.97, -15261.45,         3.925540,         0.262646,        14.946101,         8.181316,         0.654049,        12.508713,        -0.049792,         0.187106,        -0.266114,        -6.392096,         0.966349,        -6.614689,         0.135047,         0.049177,         2.746165,       160.000000,       141.899492,         0.260179,         0.265025
   60, 60, 338062.78, -13156.47,         8.296187,         0.143211,        57.929919,        -5.005506,         0.326660,       -15.323302,        -3.962505,         0.133241,       -29.739479,         1.736098,         0.331714,         5.233717,        -0.017344,         0.020468,        -0.847380,       102.000000,       257.188252,         0.476896,         0.178998
   61, 61, 325419.58, -15527.5,         9.395607,         0.220616,        42.588086,       -10.381396,         0.412389,       -25.173800,        -3.627012,         0.183411,       -19.775345,        26.418190,         0.609730,        43.327657,        -0.993959,         0.034606,       -28.722462,       142.000000,       173.320938,         0.411575,         0.157016
   62, 62, 324052.62, -12510.9,        10.554844,         0.253487,        41.638551,       -10.876587,         0.491101,       -22.147367,        -4.246890,         0.175531,       -24.194566,        31.907717,         0.664735,        48.000635,        -1.418441,         0.046874,       -30.260604,        83.000000,        59.215010,         0.372031,         0.142643
   63, 63, 327521.88, -17674.68,         8.644453,         0.188828,        45.779432,        -6.819010,         0.355068,       -19.204813,        -4.138162,         0.178179,       -23.224763,        13.238149,         0.417839,        31.682422,        -0.447377,         0.023569,       -18.981390,        78.000000,       226.047179,         0.435818,         0.112592
   64, 64, 322114.34, -17894.35,         8.282135,         0.235807,        35.122526,       -11.677637,         0.443638,       -26.322460,        -2.665978,         0.192716,       -13.833708,        33.119219,         0.815397,        40.617303,        -0.919356,         0.040074,       -22.941320,       201.000000,       166.442607,         0.383248,         0.143286
   65, 65, 320355.21, 5840.48,         7.195339,         0.383708,        18.752122,        14.531231,         1.278331,        11.367349,        -5.293193,         0.269376,       -19.649839,         9.830608,         1.084251,         9.066730,        -0.530560,         0.061242,        -8.663342,        87.000000,        85.563126,         0.680346,         0.086768
   66, 66, 330341.07, 12925.79,         9.865192,         0.337466,        29.233117,         5.792572,         1.256163,         4.611321,        -7.457604,         0.289498,       -25.760460,         5.418564,         1.134592,         4.775780,        -0.434900,         0.055824,        -7.790547,        89.000000,       138.835376,         0.751428,         0.150776
   67, 67, 318527.16, 8318.24,         6.576748,         0.400164,        16.435134,        16.042820,         1.391768,        11.526935,        -5.682527,         0.280015,       -20.293652,        12.464841,         1.205525,        10.339762,        -0.356880,         0.068489,        -5.210763,        80.000000,       108.213234,         0.709509,         0.154292
   68, 68, 347297.26, -13547.71,         8.025915,         0.142138,        56.465635,        -2.346761,         0.344158,        -6.818845,        -4.643276,         0.119168,       -38.964216,        -5.160312,         0.340361,       -15.161290,         0.329705,         0.023705,        13.908940,       105.000000,       338.920219,         0.629912,         0.258284
   69, 69, 321375.58, -10594.12,        10.236198,         0.265159,        38.603964,        -6.762133,         0.552669,       -12.235421,        -4.514650,         0.178762,       -25.255015,        23.300770,         0.686495,        33.941641,        -1.223342,         0.048815,       -25.061003,       114.000000,       223.271323,         0.339302,         0.218807
   70, 70, 318675.19, -8454.47,         7.945587,         0.290521,        27.349456,         4.670450,         0.775427,         6.023070,        -3.057030,         0.208381,       -14.670419,        13.681004,         0.929824,        14.713541,        -0.978712,         0.053221,       -18.389505,       101.000000,       130.814512,         0.302845,         0.265556
   71, 71, 350174.04, -12060.87,         7.246933,         0.184379,        39.304485,         1.967781,         0.448884,         4.383722,        -4.786194,         0.130704,       -36.618658,        -7.009964,         0.387853,       -18.073756,         0.530410,         0.033478,        15.843525,       181.000000,       259.017387,         0.684682,         0.224365
   72, 72, 329442.54, 5939.52,        12.155740,         0.404473,        30.053294,         0.693312,         1.150658,         0.602536,        -7.480808,         0.267941,       -27.919571,        -0.878639,         1.181563,        -0.743624,        -0.850687,         0.066038,       -12.881766,        82.000000,        70.552433,         0.719540,         0.231092
   73, 73, 307098.94, 992.68,         6.617891,         0.376771,        17.564778,         5.671726,         1.027764,         5.518510,        -4.123638,         0.353151,       -11.676691,         1.837416,         1.529063,         1.201661,        -0.043376,         0.088137,        -0.492142,        93.000000,       163.888923,         0.574594,         0.465509
   74, 74, 337247.61, 14030.91,         9.375504,         0.325054,        28.842941,         6.545392,         1.326787,         4.933264,        -6.493945,         0.298253,       -21.773251,         1.063739,         1.208995,         0.879854,        -0.369192,         0.054924,        -6.721914,        67.000000,        94.350222,         0.734252,         0.369405
   75, 75, 306612.95, -2173.79,         6.255161,         0.325425,        19.221524,         7.117091,         0.869229,         8.187823,        -3.271295,         0.269414,       -12.142270,        -0.285985,         1.186627,        -0.241007,        -0.116114,         0.069281,        -1.675980,        55.000000,       137.823045,         0.512724,         0.347711
   76, 76, 301727, -6640.87,         5.031777,         0.286575,        17.558298,         8.112693,         0.832473,         9.745289,        -1.794028,         0.217577,        -8.245496,        -4.859556,         1.035444,        -4.693211,         0.051538,         0.055917,         0.921688,        68.000000,        71.596947,         0.479992,         0.117808
   77, 77, 326724.18, 5478.1,        10.997099,         0.462037,        23.801359,         4.649693,         1.395059,         3.332972,        -6.977827,         0.312209,       -22.349891,         2.902521,         1.251141,         2.319900,        -0.844135,         0.067740,       -12.461419,        47.000000,        66.988418,         0.708266,         0.234319
   78, 78, 311503.39, 15708.66,         3.710889,         0.287250,        12.918666,        14.681967,         1.357200,        10.817833,        -5.267424,         0.261451,       -20.146902,        15.436543,         1.760013,         8.770696,         0.552880,         0.084407,         6.550198,        33.000000,        43.587599,         0.730602,         0.217425
   79, 79, 316934.08, -10632.09,         6.605816,         0.296956,        22.245094,         4.437266,         0.743651,         5.966867,        -1.651771,         0.215205,        -7.675320,        11.516523,         0.925642,        12.441657,        -0.724692,         0.052235,       -13.873582,        43.000000,       112.882726,         0.242103,         0.148202
   80, 80, 317980.71, -13171.59,         7.843733,         0.287166,        27.314324,        -3.618750,         0.650931,        -5.559343,        -2.347441,         0.201244,       -11.664638,        20.553342,         0.842722,        24.389233,        -0.884951,         0.050104,       -17.662355,        52.000000,       155.594451,         0.256188,         0.213982
   81, 81, 298790.59, -2464.08,         5.519833,         0.321376,        17.175645,         5.760029,         0.993778,         5.796093,        -2.688709,         0.272623,        -9.862374,        -4.313655,         1.253731,        -3.440655,         0.163979,         0.061689,         2.658137,        75.000000,       133.887367,         0.590509,         0.658226
   82, 82, 294903.64, 214.57,         5.658746,         0.327617,        17.272431,         4.557639,         1.038286,         4.389578,        -3.167305,         0.287125,       -11.031089,        -3.948110,         1.260887,        -3.131217,         0.268242,         0.064946,         4.130258,        33.000000,        29.538205,         0.648080,         0.135631
   83, 83, 284950.61, -7897.72,         5.041330,         0.298242,        16.903497,        10.109903,         0.932462,        10.842161,        -2.536346,         0.228687,       -11.090904,        -4.622694,         0.994371,        -4.648860,         0.075543,         0.058799,         1.284779,        11.000000,        14.430156,         0.650760,         0.208742
   84, 84, 302616.14, 12642.65,         5.411803,         0.275892,        19.615638,         2.101648,         1.206038,         1.742605,        -4.449075,         0.293459,       -15.160825,         1.299968,         1.665762,         0.780405,         0.673420,         0.090387,         7.450426,        23.000000,        51.663610,         0.694053,         0.191544
   85, 85, 298937.62, 11074.43,         5.644299,         0.285714,        19.755087,         1.229497,         1.209169,         1.016812,        -4.122324,         0.291418,       -14.145749,        -1.726411,         1.524251,        -1.132629,         0.634107,         0.088574,         7.159096,        43.000000,        41.923248,         0.691361,         0.074510
   86, 86, 292980.66, 10621.27,         5.730451,         0.297360,        19.271076,         0.558503,         1.253828,         0.445438,        -4.255307,         0.301019,       -14.136332,        -2.674501,         1.543869,        -1.732337,         0.691662,         0.100347,         6.892692,        46.000000,        49.302042,         0.693411,         0.179511
   87, 87, 291341.64, 3602.46,         6.054722,         0.343991,        17.601395,         2.023564,         1.125693,         1.797616,        -4.074105,         0.318790,       -12.779882,        -2.863003,         1.310220,        -2.185132,         0.443032,         0.077841,         5.691501,        19.000000,        20.452532,         0.681972,         0.090456
   88, 88, 296052.78, 6812.78,         6.344656,         0.343571,        18.466798,         0.564764,         1.205821,         0.468365,        -4.658661,         0.337419,       -13.806743,        -1.261887,         1.447082,        -0.872022,         0.516832,         0.086311,         5.988013,        11.000000,        20.955098,         0.683733,         0.121111
   89, 89, 314476.95, 3490.04,         7.400764,         0.339160,        21.820856,        10.906500,         0.881876,        12.367383,        -5.489298,         0.274865,       -19.970860,        11.173931,         1.207961,         9.250245,        -0.487365,         0.082046,        -5.940171,        30.000000,        39.978642,         0.621623,         0.212365
   90, 90, 311673.48, 10101.08,         6.583548,         0.358664,        18.355748,         5.958333,         1.152991,         5.167720,        -6.022030,         0.351490,       -17.132856,        10.347294,         1.646318,         6.285111,         0.200630,         0.087658,         2.288777,        27.000000,        24.491866,         0.706096,         0.143897
   91, 91, 300937.58, 3470.02,         6.225688,         0.360770,        17.256671,         2.572146,         1.120023,         2.296511,        -4.013283,         0.340439,       -11.788565,        -1.850839,         1.388869,        -1.332623,         0.321139,         0.078470,         4.092520,        18.000000,        29.967504,         0.645452,         0.313551
   92, 92, 286991.93, 9571.27,         5.953172,         0.308892,        19.272656,         0.325157,         1.235952,         0.263082,        -4.384083,         0.305153,       -14.366840,        -3.330355,         1.444633,        -2.305329,         0.668121,         0.103535,         6.453108,         7.000000,        15.666482,         0.701263,         0.199122
   93, 93, 307386.12, 16090.18,         4.246929,         0.257935,        16.465107,         7.923344,         1.132789,         6.994548,        -4.569425,         0.268214,       -17.036503,         8.077508,         1.617258,         4.994570,         0.677532,         0.084759,         7.993660,         7.000000,        23.487227,         0.713028,         0.135545
   94, 94, 300604.96, 17843.82,         4.345835,         0.270293,        16.078215,         5.144274,         1.191489,         4.317518,        -3.850278,         0.289767,       -13.287513,         2.479873,         1.737301,         1.427429,         0.734088,         0.093815,         7.824811,        15.000000,        38.484273,         0.699008,         0.098362
   95, 95, 303917.55, 29223.91,         1.956935,         0.304592,         6.424778,        21.178363,         1.353785,        15.643810,        -3.944424,         0.289224,       -13.637968,        17.148592,         1.708029,        10.039988,         0.470806,         0.073675,         6.390285,        44.000000,        23.482808,         0.703882,         0.099295
   96, 96, 296097.2, 19299.56,         4.394918,         0.274039,        16.037544,         4.108075,         1.197200,         3.431402,        -3.445443,         0.288473,       -11.943711,        -0.534350,         1.647275,        -0.324384,         0.753391,         0.096701,         7.790921,        25.000000,        18.177100,         0.695214,         0.118285
   97, 97, 291327.94, 19385.45,         4.530947,         0.278667,        16.259387,         3.149167,         1.218165,         2.585172,        -3.264387,         0.290282,       -11.245574,        -2.747252,         1.632024,        -1.683341,         0.768876,         0.100860,         7.623205,        15.000000,        22.103505,         0.693813,         0.113402
   98, 98, 288651.19, 16782.21,         4.847563,         0.279977,        17.314146,         2.280919,         1.216459,         1.875047,        -3.366528,         0.283289,       -11.883728,        -4.054651,         1.548443,        -2.618534,         0.759215,         0.102970,         7.373187,        53.000000,        62.592732,         0.696284,         0.451641
   99, 99, 321850.11, 16542.18,         7.642001,         0.379418,        20.141403,        16.648165,         1.878604,         8.861988,        -7.753601,         0.295648,       -26.225800,        17.186499,         1.541995,        11.145623,        -0.404326,         0.063580,        -6.359359,        24.000000,        20.195864,         0.750210,         0.116798
