"Name","STATE_FIPS",1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"Illinois",17,948,807,671,486,437,505,573,650,731,648,704,751,892,1036,1258,1386,1465,1534,1639,1816,1685,1831,2026,2091,2209,2177,2270,2452,2522,2511,2642,2700,2789,2902,2981,3131,3360,3599,3785,4045,4354,4580,4874,5266,5903,6464,6986,7623,8385,9277,10243,11077,12250,12771,13289,14682,15508,16284,17289,18461,19634,20756,21320,22764,23386,24440,25643,27005,28347,29974,31145,32259,32808,33325,34205,35599,36825,39220,41238,42049,40933
"Indiana",18,607,514,438,310,294,359,421,481,547,472,518,551,724,913,1138,1198,1251,1204,1313,1456,1361,1524,1711,1778,1943,1805,1907,2008,2042,2015,2131,2209,2246,2399,2486,2617,2856,3041,3153,3401,3714,3810,4105,4455,5100,5440,5830,6516,7199,8006,8814,9449,10355,10698,11203,12445,13143,13821,14664,15616,16770,17625,18055,19269,20112,21153,21845,22775,23748,25182,26143,27011,27590,28059,29089,30126,30768,32305,33151,33978,33174
"Iowa",19,581,510,400,297,253,269,425,393,523,458,475,501,609,835,1024,1003,1092,1245,1217,1642,1356,1532,1638,1725,1657,1788,1670,1758,1939,1990,2026,2061,2180,2284,2432,2549,2833,3067,3093,3312,3652,3862,4005,4473,5398,5596,6192,6580,7283,8438,9114,9671,10968,11227,11485,12798,13395,14020,14899,15315,16562,17380,17859,18939,18929,20498,21181,22713,23798,24844,25615,26723,27315,28232,28835,31027,31656,33177,35008,36726,35983
"Kansas",20,532,467,401,266,250,287,362,387,428,383,382,425,552,851,1045,1169,1165,1136,1310,1352,1299,1463,1602,1827,1739,1791,1753,1821,1911,2098,2106,2165,2227,2305,2384,2516,2689,2894,3032,3268,3548,3816,4145,4613,5274,5717,6186,6721,7307,8082,9240,10038,11248,11989,12373,13602,14330,14904,15583,16331,17093,18182,18832,19955,20510,21352,21889,23121,24355,25687,26824,27816,28979,29067,30109,31181,32367,34934,36546,37983,37036
"Kentucky",21,393,325,291,211,205,233,265,294,341,297,305,320,395,538,701,767,803,826,865,995,938,990,1153,1237,1305,1289,1346,1437,1491,1543,1604,1633,1731,1822,1906,1972,2134,2329,2501,2718,2971,3184,3391,3715,4145,4607,4933,5462,6095,6784,7640,8231,9110,9589,9859,11062,11558,11995,12782,13570,14602,15484,16241,17320,17815,18514,19215,20155,21215,22353,23237,24294,24816,25297,25777,26891,27881,29392,30443,31302,31250
"Louisiana",22,414,355,318,241,227,265,290,330,353,348,360,364,449,592,786,876,889,833,885,1019,1074,1117,1210,1278,1343,1339,1397,1502,1616,1635,1685,1690,1741,1806,1909,2003,2139,2331,2527,2749,2901,3106,3328,3593,3994,4510,4956,5557,6135,6951,7813,8833,10037,10558,10865,11628,12121,12028,12266,13113,13997,15223,16076,16968,17717,18779,19541,20254,21209,22352,22847,23334,25116,25683,26434,27776,29785,33438,34986,35730,35151
"Maine",23,601,576,491,377,371,416,430,506,510,471,495,526,631,857,1102,1102,1079,1134,1169,1240,1183,1195,1319,1438,1449,1448,1581,1669,1720,1797,1850,1919,1903,1983,2049,2212,2383,2539,2658,2872,3140,3423,3594,3864,4319,4764,5019,5708,6142,6751,7497,8408,9231,9873,10551,11665,12533,13463,14595,15813,16886,17479,17662,18350,18810,19531,20240,21293,22305,23529,24603,25623,27068,27731,28727,30201,30721,32340,33620,34906,35268
"Maryland",24,768,712,638,512,466,523,548,618,665,633,663,710,870,1117,1287,1324,1312,1315,1355,1500,1496,1642,1815,1944,2017,1938,2047,2184,2267,2258,2324,2407,2507,2638,2722,2881,3055,3284,3516,3831,4209,4573,4894,5291,5822,6382,6878,7536,8191,9062,10035,11230,12403,13246,14228,15693,16961,17966,19216,20626,22001,23023,23571,24358,25104,26046,26896,27844,29222,30850,32465,33872,35430,36293,37309,39651,41555,43990,45827,47040,47159
"Massachusetts",25,906,836,759,613,559,609,643,714,732,672,724,779,901,1073,1262,1299,1348,1396,1435,1512,1480,1656,1817,1895,1947,1930,2071,2194,2296,2321,2430,2511,2605,2734,2799,2932,3101,3331,3583,3903,4207,4486,4748,5106,5551,6024,6439,6994,7636,8480,9472,10673,11830,12803,13859,15549,16720,17954,19504,21334,22458,23223,23749,24876,25664,26841,28051,29618,31332,33394,35551,37992,39247,39238,39869,41792,43520,46893,49361,50607,49590
"Michigan",26,790,657,540,394,347,453,530,619,685,572,625,680,829,1050,1354,1391,1325,1329,1466,1563,1527,1718,1896,1985,2202,2076,2238,2275,2309,2246,2358,2438,2427,2592,2728,2949,3215,3450,3554,3906,4145,4194,4501,4966,5552,5926,6279,7084,7957,8834,9701,10369,11125,11462,12243,13576,14734,15573,16130,17198,18276,19022,19318,20278,21390,22862,23975,24447,25570,26807,28113,29612,30196,30410,31446,31890,32516,33452,34441,35215,34280
"Minnesota",27,599,552,457,363,308,358,451,472,540,494,517,524,615,797,947,1006,1110,1190,1270,1451,1328,1437,1582,1633,1711,1724,1790,1838,1930,2016,2065,2155,2236,2331,2460,2540,2781,2997,3182,3463,3779,4053,4275,4628,5431,5838,6216,6729,7559,8471,9409,10320,11320,11992,12594,14255,15093,15881,16899,17592,18966,20011,20489,21698,22068,23467,24583,26267,27548,29503,30793,32101,32835,33553,34744,36505,37400,39367,41059,42299,40920
"Mississippi",28,286,202,175,127,131,174,177,229,224,201,205,215,307,439,533,629,629,611,670,802,705,770,851,906,940,928,1045,1051,1063,1156,1245,1237,1322,1362,1499,1557,1688,1839,2001,2197,2408,2641,2867,3208,3613,3936,4205,4757,5259,5806,6549,7076,7901,8301,8615,9463,9922,10293,10913,11695,12540,13164,13806,14711,15468,16549,17185,18044,18885,20013,20688,20993,22222,22540,23365,24501,26120,27276,28772,29591,29318
"Missouri",29,621,561,491,365,334,367,420,466,508,475,504,519,640,806,963,1068,1130,1191,1224,1376,1327,1427,1554,1659,1737,1726,1818,1905,1949,2044,2126,2156,2215,2330,2427,2533,2738,2895,3067,3370,3561,3843,4107,4443,4937,5282,5733,6306,6991,7787,8713,9390,10457,11035,11716,12960,13868,14505,15250,16086,17083,17751,18560,19542,20295,21267,22094,23099,24252,25403,26376,27445,28156,28771,29702,30847,31644,33354,34558,35775,35106
"Montana",30,592,501,382,339,298,364,476,475,512,517,533,569,713,901,1150,1183,1206,1308,1484,1642,1412,1654,1806,1823,1810,1771,1894,1929,1983,2068,2023,2075,2025,2363,2330,2366,2548,2730,2805,2955,3284,3625,3789,4355,5012,5380,5794,6200,6636,7721,8299,9143,10244,10672,11045,11705,11900,12465,12996,13362,14623,15524,16509,17114,18072,18129,18764,19383,20167,21324,22019,22569,24342,24699,25963,27517,28987,30942,32625,33293,32699
"Nebraska",31,596,521,413,307,275,259,409,396,415,405,400,442,551,822,1019,1091,1186,1186,1274,1558,1346,1560,1641,1761,1676,1753,1650,1675,1936,2025,2022,2125,2134,2292,2341,2392,2656,2890,2990,3167,3572,3796,4121,4527,5269,5465,6168,6453,6993,8120,8784,9272,10685,11228,11601,12968,13743,14215,15035,15984,16878,18088,18766,19688,20167,21168,22196,24045,24590,25861,27049,27829,29098,29499,31262,32371,33395,34753,36880,38128,37057
"Nevada",32,868,833,652,550,495,546,658,843,762,780,861,895,982,1558,1511,1483,1611,1757,1770,1758,1795,1991,2211,2397,2447,2415,2527,2488,2562,2594,2749,2890,2957,3184,3174,3209,3299,3471,3660,4114,4520,4946,5227,5557,6114,6490,7009,7719,8550,9780,10765,11780,12780,12986,13465,14435,15332,16027,16886,18180,19568,20674,21283,22694,23465,24635,25808,27142,28201,29806,31022,30529,30718,30849,32182,34757,37555,38652,40326,40332,38009
"New Hampshire",33,686,647,558,427,416,476,498,537,565,533,561,579,708,851,976,1054,1111,1150,1217,1291,1274,1348,1508,1577,1653,1703,1829,1900,2007,2004,2124,2197,2281,2392,2427,2552,2708,2963,3162,3441,3744,3896,4102,4423,4880,5279,5592,6258,6892,7786,8781,9915,11079,11906,13041,14534,15819,16974,18371,19759,20635,20713,21326,22154,22521,23820,25008,26042,27607,29679,31114,33332,33940,34335,34892,36758,37536,39997,41720,42461,41882
"New Jersey",34,918,847,736,587,523,573,625,709,747,697,749,820,957,1167,1429,1554,1582,1526,1571,1648,1624,1802,2000,2114,2232,2219,2300,2448,2551,2525,2660,2764,2830,2990,3064,3224,3414,3652,3892,4237,4525,4835,5127,5521,6043,6576,7037,7703,8462,9408,10469,11778,13057,13999,15036,16549,17652,18711,20230,22142,23595,24766,25153,26597,27101,27885,29277,30795,32372,34310,35551,36983,37959,38240,38768,40603,42142,45668,48172,49233,48123
"New Mexico",35,410,334,289,208,211,247,292,343,362,338,357,378,474,636,773,881,942,929,1013,1124,1145,1204,1346,1423,1444,1462,1543,1626,1733,1825,1895,1884,1952,2006,2054,2134,2250,2386,2490,2709,2921,3197,3431,3761,4137,4568,5045,5527,6087,6847,7619,8402,9334,9894,10367,11215,11999,12226,12686,13322,14085,14960,15744,16425,17226,17946,18852,19478,20233,21178,21853,22203,24193,24446,25128,26606,28180,29778,31320,32585,32197
"New York",36,1152,1035,881,676,626,680,722,808,838,789,825,869,996,1169,1384,1538,1644,1697,1725,1771,1729,1858,2002,2057,2144,2175,2295,2416,2522,2553,2695,2788,2866,2980,3070,3254,3422,3657,3923,4295,4603,4887,5179,5538,5980,6492,6955,7477,8153,8979,9927,11095,12364,13344,14188,15739,16734,17827,19031,20604,21966,23315,23942,25199,25589,26359,27721,29266,30480,32236,33890,34547,35371,35332,36077,38312,40592,43892,47514,48692,46844
"North Carolina",37,332,292,248,187,208,253,271,297,324,295,315,324,422,572,693,766,823,866,900,1003,969,1077,1192,1230,1274,1293,1368,1436,1424,1505,1581,1629,1689,1797,1877,2009,2143,2363,2525,2754,3051,3285,3510,3899,4365,4743,5039,5584,6058,6780,7461,8247,9184,9690,10480,11788,12649,13444,14325,15461,16539,17367,17879,19120,20042,20931,21938,22940,24188,25454,26003,27194,27650,27726,28208,29769,31209,32692,33966,34340,33564
"North Dakota",38,382,311,187,176,146,180,272,234,326,282,319,355,529,665,966,1031,1046,1088,1494,1483,1211,1360,1444,1318,1336,1364,1490,1556,1598,1847,1679,1821,1653,2320,2142,2112,2463,2507,2592,2719,3052,3214,3669,4377,6172,6120,6334,6184,6427,8136,8398,8095,10342,10990,11386,12307,12811,13126,13565,12745,14357,15880,16270,17692,17830,19033,19084,21166,20798,22767,23313,25068,26118,26770,29109,29676,31644,32856,35882,39009,38672
"Ohio",39,771,661,563,400,385,455,516,593,648,561,615,658,821,1021,1253,1312,1340,1310,1401,1539,1456,1608,1835,1916,2024,1965,2087,2182,2243,2177,2314,2391,2405,2515,2604,2754,2948,3181,3309,3616,3934,4101,4328,4691,5218,5733,6087,6753,7511,8326,9251,10103,10982,11485,12167,13449,14295,14933,15675,16739,17825,18792,19217,20242,20999,22063,22887,23613,24913,26164,27152,28400,28966,29522,30345,31240,32097,33643,34814,35521,35018
"Oklahoma",40,455,368,301,216,222,252,298,321,376,346,349,374,432,626,782,947,970,952,1028,1143,1166,1144,1290,1401,1475,1458,1516,1593,1657,1794,1857,1916,1947,1994,2055,2196,2361,2517,2702,2948,3198,3477,3711,4020,4524,4986,5475,5974,6586,7387,8485,9580,11003,11817,11725,12687,13265,13288,13464,14257,15265,16214,16721,17526,18085,18730,19394,20151,21106,22199,22953,23517,25059,25059,25719,27516,29122,31753,32781,34378,33708
"Oregon",41,668,607,505,379,358,439,458,548,556,531,571,609,818,1118,1381,1389,1357,1379,1504,1646,1604,1657,1830,1912,1916,1867,1978,2070,2055,2106,2244,2283,2349,2457,2541,2685,2852,3033,3201,3448,3677,3940,4212,4625,5135,5726,6181,6913,7556,8476,9415,10196,10862,11128,11832,12866,13547,14162,14911,16062,17222,18253,18806,19558,20404,21421,22668,23649,24845,25958,27023,28350,28866,29387,30172,31217,32108,34212,35279,35899,35210
"Pennsylvania",42,772,712,600,449,417,482,517,601,636,563,601,650,776,951,1146,1250,1280,1289,1364,1436,1405,1552,1713,1789,1894,1827,1915,2063,2174,2164,2240,2301,2334,2439,2511,2662,2830,3040,3246,3507,3815,4077,4294,4683,5168,5704,6170,6800,7493,8305,9225,10151,11184,11887,12455,13512,14445,15186,16142,17323,18725,19823,20505,21550,22211,22864,23738,24838,26092,27358,28605,29539,30085,30840,31709,33069,34131,36375,38003,39008,38827
"Rhode Island",44,874,788,711,575,559,600,645,711,731,672,720,750,934,1149,1201,1274,1278,1369,1459,1433,1378,1553,1717,1765,1855,1847,1958,1998,2024,2067,2183,2234,2329,2457,2552,2691,2870,3113,3336,3595,3865,4114,4295,4625,4972,5405,5844,6411,7004,7693,8595,9742,10815,11605,12439,13717,14685,15587,16651,18271,19657,20194,20363,21257,22137,22762,24046,25123,26631,28012,29377,29685,31378,32374,33690,35318,36461,38610,40421,41542,41283
"South Carolina",45,271,243,205,159,175,211,229,258,273,250,276,310,394,545,648,732,753,780,793,911,873,925,1115,1196,1233,1166,1229,1260,1286,1316,1392,1437,1498,1602,1669,1787,1958,2176,2340,2570,2827,3064,3274,3603,4029,4459,4720,5257,5684,6334,7044,7794,8651,9071,9775,10910,11666,12258,13056,14045,14834,16050,16409,17165,17805,18686,19473,20403,21385,22544,23545,24321,24871,25279,25875,27057,28337,29990,30958,31510,30835
"South Dakota",46,426,366,241,189,129,184,309,244,323,320,345,361,475,757,846,979,1086,1132,1270,1526,1116,1283,1497,1327,1436,1457,1342,1419,1669,1740,1564,1870,1863,2092,2020,2000,2278,2500,2577,2773,2995,3256,3538,4065,5163,5178,5667,5591,6351,7347,8158,8142,9451,9915,10195,11619,11942,12486,13217,13807,14767,16238,16961,17966,18565,19607,19848,21736,22275,23797,25045,26115,27531,27727,30072,31765,32726,33320,35998,38188,36499
"Tennessee",47,378,325,277,198,204,245,264,304,334,300,311,340,436,561,728,864,912,872,892,965,951,1028,1122,1178,1276,1274,1327,1422,1476,1512,1598,1618,1690,1771,1855,1965,2128,2332,2473,2741,2967,3189,3451,3808,4298,4696,5017,5574,6108,6895,7618,8319,9196,9695,10276,11453,12247,12995,13909,14910,15883,16821,17503,18840,19741,20696,21800,22450,23324,24576,25574,26239,27059,27647,28501,29734,30764,32314,33578,34243,33512
"Texas",48,479,412,348,266,257,294,326,372,418,404,417,438,528,719,944,1045,1058,1047,1147,1214,1300,1363,1488,1564,1598,1630,1697,1784,1856,1871,1948,1955,2021,2079,2155,2284,2433,2630,2840,3105,3373,3646,3861,4192,4683,5194,5738,6362,6979,7912,8929,9957,11391,11961,12303,13396,14196,14165,14486,15324,16323,17458,18150,19146,19825,20590,21526,22557,24242,25803,26858,27871,28519,28295,28929,30392,32448,34489,36020,36969,35674
"Utah",49,551,498,369,305,298,310,389,463,444,444,458,480,594,880,1126,1049,1121,1094,1180,1257,1262,1348,1544,1596,1604,1573,1666,1758,1862,1888,1970,2035,2091,2230,2281,2386,2494,2605,2721,2900,3103,3391,3658,3979,4326,4743,5150,5739,6328,7041,7786,8464,9290,9807,10333,11233,11846,12248,12638,13156,13977,14996,15661,16354,17031,17912,18858,19955,21156,22294,23288,23907,24899,25010,25192,26169,27905,29582,31009,31253,30107
"Vermont",50,634,576,474,365,338,383,414,471,485,457,491,516,643,775,932,953,1035,1090,1127,1192,1125,1169,1334,1380,1432,1456,1524,1655,1720,1732,1832,1923,1994,2072,2128,2266,2456,2729,2885,3128,3388,3634,3856,4176,4548,4869,5192,5753,6179,7036,7853,8702,9717,10287,10968,12048,12994,13842,14992,16197,17517,18055,18218,19293,19785,20553,21359,22295,23362,24803,25889,26901,28140,28651,29609,31240,31920,34394,36018,36940,36752
"Virginia",51,434,384,370,284,285,320,350,390,423,390,426,467,582,785,843,900,950,1002,1015,1148,1132,1257,1420,1510,1533,1554,1637,1712,1738,1784,1885,1936,2005,2121,2218,2403,2563,2746,2967,3252,3558,3795,4092,4486,4972,5484,5934,6534,7192,8040,8995,10176,11291,12075,12936,14298,15286,16237,17332,18556,19780,20538,21092,21965,22773,23709,24456,25495,26768,28343,29789,31162,32747,33235,34451,36285,38304,40644,42506,43409,43211
"Washington",53,741,658,534,402,376,443,490,569,599,582,614,658,864,1196,1469,1527,1419,1401,1504,1624,1595,1721,1874,1973,2066,2077,2116,2172,2262,2281,2380,2436,2535,2680,2735,2858,3078,3385,3566,3850,4097,4205,4381,4731,5312,5919,6533,7181,7832,8887,9965,10913,11903,12431,13124,14021,14738,15522,16300,17270,18670,20026,20901,21917,22414,23119,23878,25287,26817,28632,30392,31528,32053,32206,32934,34984,35738,38477,40782,41588,40619
"West Virginia",54,460,408,356,257,259,313,337,390,418,370,388,407,498,613,739,820,888,925,1032,1110,1023,1056,1182,1247,1276,1225,1318,1477,1594,1551,1597,1625,1671,1762,1853,1974,2126,2271,2417,2573,2798,3117,3378,3682,4026,4457,4974,5479,6053,6703,7432,8172,8866,9439,9626,10417,10936,11464,11950,12708,13529,14579,15219,16118,16724,17413,17913,18566,19388,20246,20966,21915,23333,24103,24626,25484,26374,28379,29769,31265,31843
"Wisconsin",55,673,588,469,362,333,380,461,518,551,507,513,547,672,866,1053,1109,1182,1211,1296,1434,1387,1506,1736,1799,1839,1774,1875,1990,2060,2075,2225,2258,2304,2412,2458,2616,2789,3025,3180,3441,3751,3983,4238,4595,5130,5622,6061,6670,7417,8292,9281,10161,11006,11592,12046,13182,13845,14530,15358,16201,17299,18160,18711,19872,20639,21699,22573,23554,24790,26245,27390,28232,29161,29838,30657,31703,32625,34535,35839,36594,35676
"Wyoming",56,675,585,476,374,371,411,496,551,607,561,587,602,779,944,1150,1224,1258,1362,1506,1610,1647,1719,1955,1912,1932,1858,1913,2011,2132,2172,2278,2312,2387,2502,2535,2588,2743,2906,3121,3315,3584,3919,4269,4709,5410,6172,6701,7212,8152,9384,10572,11753,12879,13251,12723,13493,14242,14004,14194,14968,16383,17996,18867,19550,20287,20957,21514,22098,23820,24927,26396,27230,29122,29828,31544,33721,36683,41548,43453,45177,42504
